 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602804319.5431554]         [Thread #19]      Create read mapping...
[1602804334.605399]          [Thread #19]    - [Thread #19] finished
[1602804314.969541]          [Thread #20]    - [Thread #20] running on [1/28] CPUs
[1602804314.9696271]         [Thread #20]      Creating output directories...
[1602804314.9711747]         [Thread #20]      Translating reads...
[1602804334.5420504]         [Thread #20]      Running DIAMOND...
[1602804340.026168]          [Thread #20]      Converting DIAMOND...
[1602804340.1457226]         [Thread #20]      Parsing DIAMOND...
[1602804340.327776]          [Thread #20]      Annotating...
[1602804340.7823324]         [Thread #20]      Analyzing...
[1602804341.095957]          [Thread #20]      Create read mapping...
[1602804356.5734513]         [Thread #20]    - [Thread #20] finished
[1602804336.8817873]         [Thread #21]    - [Thread #21] running on [1/28] CPUs
[1602804336.8818698]         [Thread #21]      Creating output directories...
[1602804336.8834085]         [Thread #21]      Translating reads...
[1602804356.5543313]         [Thread #21]      Running DIAMOND...
[1602804362.0978112]         [Thread #21]      Converting DIAMOND...
[1602804362.2240143]         [Thread #21]      Parsing DIAMOND...
[1602804362.4332783]         [Thread #21]      Annotating...
[1602804362.9253585]         [Thread #21]      Analyzing...
[1602804363.2326348]         [Thread #21]      Create read mapping...
[1602804376.303526]          [Thread #21]    - [Thread #21] finished
[1602804358.819538]          [Thread #22]    - [Thread #22] running on [1/28] CPUs
[1602804358.8195882]         [Thread #22]      Creating output directories...
[1602804358.8207486]         [Thread #22]      Translating reads...
[1602804379.2757301]         [Thread #22]      Running DIAMOND...
[1602804384.7795022]         [Thread #22]      Converting DIAMOND...
[1602804384.8972046]         [Thread #22]      Parsing DIAMOND...
[1602804385.1524286]         [Thread #22]      Annotating...
[1602804385.7116892]         [Thread #22]      Analyzing...
[1602804385.9038181]         [Thread #22]      Create read mapping...
[1602804401.074239]          [Thread #22]    - [Thread #22] finished
[1602804381.504148]          [Thread #23]    - [Thread #23] running on [1/28] CPUs
[1602804381.5042946]         [Thread #23]      Creating output directories...
[1602804381.5069132]         [Thread #23]      Translating reads...
[1602804400.9911911]         [Thread #23]      Running DIAMOND...
[1602804406.4867177]         [Thread #23]      Converting DIAMOND...
[1602804406.6055124]         [Thread #23]      Parsing DIAMOND...
[1602804406.8036969]         [Thread #23]      Annotating...
[1602804407.1434329]         [Thread #23]      Analyzing...
[1602804407.4715004]         [Thread #23]      Create read mapping...
[1602804423.226555]          [Thread #23]    - [Thread #23] finished
[1602804403.3428106]         [Thread #24]    - [Thread #24] running on [1/28] CPUs
[1602804403.342894]          [Thread #24]      Creating output directories...
[1602804403.344563]          [Thread #24]      Translating reads...
[1602804423.166916]          [Thread #24]      Running DIAMOND...
[1602804428.7723105]         [Thread #24]      Converting DIAMOND...
[1602804428.900959]          [Thread #24]      Parsing DIAMOND...
[1602804429.2733228]         [Thread #24]      Annotating...
[1602804429.453642]          [Thread #24]      Analyzing...
[1602804429.7942102]         [Thread #24]      Create read mapping...
[1602804444.6659112]         [Thread #24]    - [Thread #24] finished
[1602804425.4913676]         [Thread #25]    - [Thread #25] running on [1/28] CPUs
[1602804425.491452]          [Thread #25]      Creating output directories...
[1602804425.4933214]         [Thread #25]      Translating reads...
[1602804444.603963]          [Thread #25]      Running DIAMOND...
[1602804450.1733725]         [Thread #25]      Converting DIAMOND...
[1602804450.2946448]         [Thread #25]      Parsing DIAMOND...
[1602804450.495492]          [Thread #25]      Annotating...
[1602804450.9121552]         [Thread #25]      Analyzing...
[1602804451.2485268]         [Thread #25]      Create read mapping...
[1602804466.8768327]         [Thread #25]    - [Thread #25] finished
[1602804446.9133987]         [Thread #26]    - [Thread #26] running on [1/28] CPUs
[1602804446.9134362]         [Thread #26]      Creating output directories...
[1602804446.9149842]         [Thread #26]      Translating reads...
[1602804466.787262]          [Thread #26]      Running DIAMOND...
[1602804472.3461957]         [Thread #26]      Converting DIAMOND...
[1602804472.4756074]         [Thread #26]      Parsing DIAMOND...
[1602804472.7328787]         [Thread #26]      Annotating...
[1602804473.306383]          [Thread #26]      Analyzing...
[1602804473.7212667]         [Thread #26]      Create read mapping...
[1602804489.0188694]         [Thread #26]    - [Thread #26] finished
[1602804469.1432254]         [Thread #27]    - [Thread #27] running on [1/28] CPUs
[1602804469.1434247]         [Thread #27]      Creating output directories...
[1602804469.1456532]         [Thread #27]      Translating reads...
[1602804489.0207837]         [Thread #27]      Running DIAMOND...
[1602804494.566768]          [Thread #27]      Converting DIAMOND...
[1602804494.7098007]         [Thread #27]      Parsing DIAMOND...
[1602804494.8778307]         [Thread #27]      Annotating...
[1602804495.3222952]         [Thread #27]      Analyzing...
[1602804495.5236676]         [Thread #27]      Create read mapping...
[1602804511.3458703]         [Thread #27]    - [Thread #27] finished
[1602804491.2059362]         [Thread #28]    - [Thread #28] running on [1/28] CPUs
[1602804491.2060218]         [Thread #28]      Creating output directories...
[1602804491.207687]          [Thread #28]      Translating reads...
[1602804511.332691]          [Thread #28]      Running DIAMOND...
[1602804516.8357515]         [Thread #28]      Converting DIAMOND...
[1602804516.9637558]         [Thread #28]      Parsing DIAMOND...
[1602804517.122895]          [Thread #28]      Annotating...
[1602804517.5715702]         [Thread #28]      Analyzing...
[1602804517.8892114]         [Thread #28]      Create read mapping...
[1602804533.2544894]         [Thread #28]    - [Thread #28] finished
[1602804513.550904]          [Thread #29]    - [Thread #29] running on [1/28] CPUs
[1602804513.5509858]         [Thread #29]      Creating output directories...
[1602804513.5523868]         [Thread #29]      Translating reads...
[1602804533.7363667]         [Thread #29]      Running DIAMOND...
[1602804539.1791747]         [Thread #29]      Converting DIAMOND...
[1602804539.3160627]         [Thread #29]      Parsing DIAMOND...
[1602804539.4443328]         [Thread #29]      Annotating...
[1602804539.595253]          [Thread #29]      Analyzing...
[1602804539.9103885]         [Thread #29]      Create read mapping...
[1602804555.3829005]         [Thread #29]    - [Thread #29] finished
[1602804535.946939]          [Thread #30]    - [Thread #30] running on [1/28] CPUs
[1602804535.9470263]         [Thread #30]      Creating output directories...
[1602804535.949212]          [Thread #30]      Translating reads...
[1602804555.307572]          [Thread #30]      Running DIAMOND...
[1602804560.8163276]         [Thread #30]      Converting DIAMOND...
[1602804560.9414315]         [Thread #30]      Parsing DIAMOND...
[1602804561.222492]          [Thread #30]      Annotating...
[1602804561.6774137]         [Thread #30]      Analyzing...
[1602804562.0168421]         [Thread #30]      Create read mapping...
[1602804577.488142]          [Thread #30]    - [Thread #30] finished
