 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602813637.8812788]         [Thread #17]      Creating output directories...
[1602813637.8828783]         [Thread #17]      Translating reads...
[1602813657.2607958]         [Thread #17]      Running DIAMOND...
[1602813663.0532968]         [Thread #17]      Converting DIAMOND...
[1602813663.154374]          [Thread #17]      Parsing DIAMOND...
[1602813663.4314344]         [Thread #17]      Annotating...
[1602813663.803788]          [Thread #17]      Analyzing...
[1602813664.0937386]         [Thread #17]      Create read mapping...
[1602813677.731579]          [Thread #17]    - [Thread #17] finished
[1602813659.632093]          [Thread #18]    - [Thread #18] running on [1/28] CPUs
[1602813659.6321735]         [Thread #18]      Creating output directories...
[1602813659.6338556]         [Thread #18]      Translating reads...
[1602813678.193761]          [Thread #18]      Running DIAMOND...
[1602813683.9547575]         [Thread #18]      Converting DIAMOND...
[1602813684.0564096]         [Thread #18]      Parsing DIAMOND...
[1602813684.3145423]         [Thread #18]      Annotating...
[1602813684.6779237]         [Thread #18]      Analyzing...
[1602813684.9521167]         [Thread #18]      Create read mapping...
[1602813699.9045908]         [Thread #18]    - [Thread #18] finished
[1602813680.5867586]         [Thread #19]    - [Thread #19] running on [1/28] CPUs
[1602813680.5868478]         [Thread #19]      Creating output directories...
[1602813680.5902472]         [Thread #19]      Translating reads...
[1602813699.8781674]         [Thread #19]      Running DIAMOND...
[1602813705.6176765]         [Thread #19]      Converting DIAMOND...
[1602813705.7365448]         [Thread #19]      Parsing DIAMOND...
[1602813705.9408722]         [Thread #19]      Annotating...
[1602813706.2698967]         [Thread #19]      Analyzing...
[1602813706.4360995]         [Thread #19]      Create read mapping...
[1602813720.3518448]         [Thread #19]    - [Thread #19] finished
[1602813702.2732105]         [Thread #20]    - [Thread #20] running on [1/28] CPUs
[1602813702.2733564]         [Thread #20]      Creating output directories...
[1602813702.2750826]         [Thread #20]      Translating reads...
[1602813721.3339064]         [Thread #20]      Running DIAMOND...
[1602813727.0524948]         [Thread #20]      Converting DIAMOND...
[1602813727.1805453]         [Thread #20]      Parsing DIAMOND...
[1602813727.3974507]         [Thread #20]      Annotating...
[1602813727.4622405]         [Thread #20]      Analyzing...
[1602813727.4728098]         [Thread #20]      Create read mapping...
[1602813739.9550421]         [Thread #20]    - [Thread #20] finished
[1602813723.6460443]         [Thread #21]    - [Thread #21] running on [1/28] CPUs
[1602813723.6461117]         [Thread #21]      Creating output directories...
[1602813723.6477356]         [Thread #21]      Translating reads...
[1602813742.5574152]         [Thread #21]      Running DIAMOND...
[1602813748.302524]          [Thread #21]      Converting DIAMOND...
[1602813748.4157562]         [Thread #21]      Parsing DIAMOND...
[1602813748.5860767]         [Thread #21]      Annotating...
[1602813748.9431317]         [Thread #21]      Analyzing...
[1602813749.228178]          [Thread #21]      Create read mapping...
[1602813764.3820512]         [Thread #21]    - [Thread #21] finished
[1602813744.9104671]         [Thread #22]    - [Thread #22] running on [1/28] CPUs
[1602813744.910576]          [Thread #22]      Creating output directories...
[1602813744.9133554]         [Thread #22]      Translating reads...
[1602813765.6953144]         [Thread #22]      Running DIAMOND...
[1602813771.4063265]         [Thread #22]      Converting DIAMOND...
[1602813771.5138261]         [Thread #22]      Parsing DIAMOND...
[1602813771.7473843]         [Thread #22]      Annotating...
[1602813771.9070654]         [Thread #22]      Analyzing...
[1602813772.192468]          [Thread #22]      Create read mapping...
[1602813787.818526]          [Thread #22]    - [Thread #22] finished
[1602813768.0080726]         [Thread #23]    - [Thread #23] running on [1/28] CPUs
[1602813768.0081522]         [Thread #23]      Creating output directories...
[1602813768.009746]          [Thread #23]      Translating reads...
[1602813787.8096447]         [Thread #23]      Running DIAMOND...
[1602813793.5495706]         [Thread #23]      Converting DIAMOND...
[1602813793.6524596]         [Thread #23]      Parsing DIAMOND...
[1602813793.8000674]         [Thread #23]      Annotating...
[1602813794.1676626]         [Thread #23]      Analyzing...
[1602813794.4051692]         [Thread #23]      Create read mapping...
[1602813809.3957968]         [Thread #23]    - [Thread #23] finished
