"name";"temp_final";"dif_final";"cluster"
"Chordaria flagelliformis";10;0;1
"Chordaria linearis";10;0;1
"Chordaria magellanica";10;0;1
"Choricystis minor";20;0;2
"Choricystis sp. ";15;0.833333333333333;1
"Choristocarpus tenellus";10;0;1
"Chroodactylon ornatum";20;0;2
"Chroogloeocystis siderophila";24;0;2
"Chroomonas caudata";15;0;1
"Chroomonas coerulea";15;0;1
"Chroomonas collegionis";15;0;1
"Chroomonas dispersa";15;0;1
"Chroomonas mesostigmatica";20;0;2
"Chroomonas nordstedtii";15;0;1
"Chroomonas placoidea";15;0;1
"Chroomonas sp. ";20;1.66666666666667;2
"Chrysamoeba radians";20;0;2
"Chrysochromulina hirta";15;0;1
"Chrysochromulina parva";15;0;1
"Chrysochromulina quadrikonta";20;0;2
"Chrysochromulina simplex";20;0;2
"Chrysochromulina sp. ";20;0;2
"Chrysoculter rhomboideus";20;0;2
"Chrysophaeum taylorii";20;0;2
"Cladocopium sp. ";20;0;2
"Cladosiphon okamuranus";15;0;1
"Cladosiphon umezaki";10;0;1
"Cladostephus spongiosus";4;0;0
"Cladostephus verticillatus";10;0;1
"Cladothele decaisnei";10;0;1
"Closterium acerosum";20;0;2
"Closterium aciculare";20;0;2
"Closterium calosporum";20;0.153846153846154;2
"Closterium ehrenbergii";20;0;2
"Closterium gracile";20;0;2
"Closterium incurvum";20;0;2
"Closterium moniliferum";20;0;2
"Closterium navicula";20;0;2
"Closterium peracerosum";15;0.304347826086957;1
"Closterium pleurodermatum";20;0;2
"Closterium praelongum";20;0;2
"Closterium pusillum";20;0;2
"Closterium rostratum";20;0;2
"Closterium selenastrum";20;0;2
"Closterium spinosporum";20;0;2
"Closterium tumidum";20;0;2
"Closterium venus";20;0;2
"Closterium wallichii";20;0;2
"Coccolithus braarudii";15;0;1
"Coccomyxa dispar";20;0;2
"Coccomyxa subellipsoidea";20;0;2
"Cochlodinium sp. ";15;0;1
"Codium capitulatum";15;0;1
"Codium dimorphum";15;0;1
"Codium fragile";15;1.66666666666667;1
"Codium hubbsii";15;0;1
"Codium spongiosum";15;0;1
"Codium subtubulosum";15;0;1
"Coelarthrum muelleri";10;0;1
"Coelastrum astroideum";20;0;2
"Coelastrum morus";20;0;2
"Coelastrum proboscideum";20;0;2
"Coelastrum reticulatum";20;0;2
"Coelastrum sp. ";20;0;2
"Coelocladia arctica";10;0;1
"Colaconema caespitosum";15;0;1
"Colaconema endophyticum";15;0;1
"Colemanosphaera angeleri";20;0;2
"Colemanosphaera charkowiensis";20;0;2
"Coleochaete nitellarum";20;0;2
"Coleochaete scutata";20;0;2
"Colpomenia phaeodactyla";10;0;1
"Compsopogon coeruleus";20;0;2
"Compsopogonopsis japonica";20;0;2
"Coolia  malayensis";20;0;2
"Coolia monotis";20;0;2
"Copromyxa microcystidis";20;0;2
"Corisphaera gracilis";20;0;2
"Corynoplastis japonica";20;0;2
"Cosmarium contractum";20;0;2
"Cosmarium dilatatum";22;0;2
"Cosmarium hians";20;0;2
"Cosmocladium constrictum";20;0;2
"Costaria costata";10;0;1
"Craticula molestiformis";15;0;1
"Craticula pseudocitrus";20;0;2
"Crucigenia lauterbornii";20;0;2
"Cruciplacolithus neohelis";20;0;2
"Cryptoglena pigra";20;0;2
"Cryptoglena skujae";20;0;2
"Cryptomonas acuta";15;0;1
"Cryptomonas curvata";20;0;2
"Cryptomonas irregularis";15;0;1
"Cryptomonas ovata";15;0;1
"Cryptomonas paramaecium";15;0;1
"Cryptomonas platyuris";10;0;1
"Cryptomonas rostratiformis";15;0;1
"Cryptomonas sp. ";15;1.11111111111111;1
"Cryptomonas tetrapyrenoidosa";12.5;2.5;1
"Cuspidothrix issatschenkoi";20;0;2
"Cutleria cyindrica";10;0;1
"Cutleria multifida";10;0;1
"Cyanidioschyzon merolae";37;0;3
"Cyanidium  caldarium";37;0;3
"Cyanidium caldarium";28.5;8.5;2
"Cyanobium sp. ";20;0;2
"Cyanophora cuspidata";20;0;2
"Cyanophora kugrensii";20;0;2
"Cyanophora paradoxa";20;0;2
"Cyanophora sudae";20;0;2
"Cyclostephanos tholiformis";20;0;2
"Cyclotella atomus";20;0;2
"Cyclotella meduanae";20;0;2
"Cyclotella meneghiniana";17.5;2.5;2
"Cylindrocystis brebissonii";20;0;2
"Cylindrocystis sp. ";20;0;2
"Cylindrospermum muscicola";20;0;2
"Cylindrotheca closterium";15;0;1
"Cylindrotheca fusiformis";17.5;2.5;2
"Cylindrotheca sp. ";15;0;1
"Dangeardinia metastigma";25;0;2
"Dangeardinia pseudopertusa";20;0;2
"Dasya sessillis";10;0;1
"Dasya sinicola var. sinicola";15;0;1
"Delesseria serrulata";10;0;1
"Derbesia marina";10;0;1
"Derbesia tenuissima";15;1.25;1
"Desmarestia aculeata";10;0;1
"Desmarestia distans";10;0;1
"Desmarestia firma";10;0;1
"Desmarestia gayana";10;0;1
"Desmarestia herbacea";10;0;1
"Desmarestia latifrons";10;0;1
"Desmarestia ligulata";10;0;1
"Desmarestia muelleri";10;0;1
"Desmarestia sp. no data ";10;0;1
"Desmarestia viridis";10;0;1
"Desmarestia willi";10;0;1
"Desmodesmus abundans";20;0;2
"Desmodesmus costato";20;0;2
"Desmodesmus komarekii";20;0;2
"Desmodesmus serratus";20;0;2
"Desmodesmus sp. ";20;0;2
"Desmodesmus subspicatus";20;0;2
"Desmotetra delicata";20;0;2
"Desmotrichum sp. no data ";10;0;1
"Developayella elegans";20;0;2
"Dichotomaria apiculata";15;0;1
"Dichotomaria falcata";15;0;1
"Dichotomaria papillata";15;0;1
"Dichotomaria sp. no data ";15;0;1
"Dictyochloropsis irregularis";20;0;2
"Dictyopteris latiuscula";10;0;1
"Dictyopteris prolifera";15;0;1
"Dictyosphaerium pulchellum";15;0;1
"Dictyota dichotoma";10;0;1
"Dictyota phlyctaenodes";20;0;2
"Didymogenes soliella";20;0;2
"Didymogenes sphaerica";20;0;2
"Dimorphococcus lunatus";20;0;2
"Dinobryon divergens";15;0;1
"Diphylleia rotans";20;0;2
"Ditylum brightwellii";10;0;1
"Docidium undulatum";20;0;2
"Dolichospermum  flos";20;0;2
"Dolichospermum  lemmermannii";22;2;2
"Dolichospermum  smithii";20;0;2
"Dolichospermum affine";20;0.285714285714286;2
"Dolichospermum akankoense";20;0;2
"Dolichospermum circinale";20;0.125;2
"Dolichospermum compactum";20;0;2
"Dolichospermum crassum";20;0.133333333333333;2
"Dolichospermum danicum";20;0;2
"Dolichospermum flos";20;0.25;2
"Dolichospermum lemmermannii";20;0;2
"Dolichospermum minisporum";20;0;2
"Dolichospermum mucosum";20;0;2
"Dolichospermum planctonicum";20;0.285714285714286;2
"Dolichospermum pseudocompactum";20;0.625;2
"Dolichospermum smithii";20;0;2
"Dolichospermum sp. ";20;0;2
"Dolichospermum spiroides";20;0.666666666666667;2
"Dolichospermum ucrainicum";20;0.5;2
"Dunaliella  sp. ";20;0;2
"Dunaliella bioculata";20;0;2
"Dunaliella parva";20;0;2
"Dunaliella peircei";20;0;2
"Dunaliella primolecta";20;0;2
"Dunaliella salina";20;0;2
"Dunaliella sp. ";20;0;2
"Dunaliella tertiolecta";20;0;2
"Dysnectes brevis";15;0;1
