name,temp_final,dif_final,cluster
Aerococcus viridans,30,0,1
Aeromicrobium alkaliterrae,28,0,1
Aeromicrobium erythreum,35,0,2
Aeromicrobium fastidiosum,28,0,1
Aeromicrobium flavum,28,0,1
Aeromicrobium ginsengisoli,28,0,1
Aeromicrobium halocynthiae,25,0,1
Aeromicrobium marinum,28,0,1
Aeromicrobium massiliense,28,0,1
Aeromicrobium panaciterrae,28,0,1
Aeromicrobium ponti,28,0,1
Aeromicrobium sp.,24,4,1
Aeromicrobium tamlense,28,0,1
Aeromonas allosaccharophila,28,0,1
Aeromonas aquariorum,30,0,1
Aeromonas australiensis,28,0,1
Aeromonas bestiarum,30,0,1
Aeromonas bivalvium,28,0,1
Aeromonas caviae,30,0.666666667,1
Aeromonas diversa,37,0,2
Aeromonas encheleia,28,0,1
Aeromonas enteropelogenes,30,0.333333333,1
Aeromonas eucrenophila,30,0,1
Aeromonas fluvialis,28,0,1
Aeromonas hydrophila subsp. dhakensis,28,0,1
Aeromonas hydrophila subsp. hydrophila,30,0,1
Aeromonas hydrophila subsp. ranae,28,0,1
Aeromonas ichthiosmia,30,0,1
Aeromonas jandaei,28,0,1
Aeromonas media,30,0,1
Aeromonas molluscorum,28,0,1
Aeromonas piscicola,29,1,1
Aeromonas popoffii,28,0,1
Aeromonas rivuli,28,0,1
Aeromonas salmonicida,28,0,1
Aeromonas salmonicida subsp. achromogenes,25,0,1
Aeromonas salmonicida subsp. masoucida,28,0,1
Aeromonas salmonicida subsp. pectinolytica,30,0,1
Aeromonas salmonicida subsp. salmonicida,28,0,1
Aeromonas salmonicida subsp. smithia,20,0,1
Aeromonas sanarellii,28,0,1
Aeromonas schubertii,30,0,1
Aeromonas sharmana,30,0,1
Aeromonas simiae,30,0,1
Aeromonas sobria,28,0,1
Aeromonas sp.,30,0.5,1
Aeromonas taiwanensis,28,0,1
Aeromonas tecta,30,0,1
Aeromonas veronii,33.5,3.5,2
Aeropyrum camini,85,0,3
Aeropyrum pernix,90,0,3
Aestuariibacter aggregatus,28,0,1
Aestuariibacter halophilus,40,0,2
Aestuariibacter salexigens,35,0,2
Aestuariimicrobium kwangyangense,28,0,1
Afifella marina,25,0,1
Afifella pfennigii,28,0,1
Afifella sp.,30,0,1
Afipia birgiae,28,0,1
Afipia broomeae,28,0,1
Afipia clevelandensis,28,0,1
Afipia felis,29,1,1
Afipia massiliensis,28,0,1
Afipia sp.,28,0,1
Agaricus arvensis,25,0,1
Agaricus bisporus,24,0.5,1
Agaricus bitorquis,25,0,1
Agaricus macrocarpus,25,0,1
Agaricus semotus,25,0,1
Agaricus silvicola,25,0,1
Agaricus subrufescens,23,0,1
Agaricus xanthoderma,25,0,1
Aggregatibacter actinomycetemcomitans,37,0,2
Aggregatibacter segnis,37,0,2
Agitococcus lubricus,28,0,1
Agreia bicolorata,24,0,1
Agreia pratensis,28,0,1
Agrobacterium agile,26,0,1
Agrobacterium luteum,26,0,1
Agrobacterium sp.,27.5,1.166666667,1
Agrococcus baldri,28,0,1
Agrococcus carbonis,28,0,1
Agrococcus casei,28,0,1
Agrococcus citreus,28,0,1
Agrococcus jejuensis,28,0,1
Agrococcus jenensis,28,0,1
Agrococcus lahaulensis,28,0,1
Agrococcus terreus,28,0,1
Agrococcus versicolor,28,0,1
Agrocybe aegerita,24,0.666666667,1
Agrocybe arvalis,25,0,1
Agrocybe dura,22,2.333333333,1
Agrocybe perfecta,25,0,1
Agrocybe praecox,22,1.333333333,1
Agromyces albus,24,0,1
Agromyces allii,28,0,1
Agromyces atrinae,28,0,1
Agromyces aurantiacus,28,0,1
Agromyces bauzanensis,28,0,1
Agromyces bracchium,28,0,1
Agromyces cerinus subsp. cerinus,30,0,1
Agromyces cerinus subsp. nitratus,30,0,1
Agromyces flavus,28,0,1
Agromyces fucosus,30,0,1
Agromyces hippuratus,30,0,1
Agromyces humatus,28,0,1
Agromyces indicus,28,0,1
Agromyces iriomotensis,28,0,1
Agromyces italicus,28,0,1
Agromyces lapidis,28,0,1
Agromyces luteolus,28,0,1
Agromyces mediolanus,30,0,1
