 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602771065.5635126]         [Thread #23]      Creating output directories...
[1602771065.5666542]         [Thread #23]      Translating reads...
[1602771085.1620028]         [Thread #23]      Running DIAMOND...
[1602771091.3270037]         [Thread #23]      Converting DIAMOND...
[1602771091.4454784]         [Thread #23]      Parsing DIAMOND...
[1602771091.5546212]         [Thread #23]      Annotating...
[1602771091.7713652]         [Thread #23]      Analyzing...
[1602771091.9654942]         [Thread #23]      Create read mapping...
[1602771106.5608556]         [Thread #23]    - [Thread #23] finished
[1602771087.2444217]         [Thread #24]    - [Thread #24] running on [1/28] CPUs
[1602771087.2444668]         [Thread #24]      Creating output directories...
[1602771087.2477245]         [Thread #24]      Translating reads...
[1602771106.5331035]         [Thread #24]      Running DIAMOND...
[1602771112.7025485]         [Thread #24]      Converting DIAMOND...
[1602771112.8359401]         [Thread #24]      Parsing DIAMOND...
[1602771112.969999]          [Thread #24]      Annotating...
[1602771113.3200648]         [Thread #24]      Analyzing...
[1602771113.5870054]         [Thread #24]      Create read mapping...
[1602771127.9566739]         [Thread #24]    - [Thread #24] finished
[1602771129.9761822]         [Thread #26]    - [Thread #26] running on [1/28] CPUs
[1602771129.9762626]         [Thread #26]      Creating output directories...
[1602771129.979301]          [Thread #26]      Translating reads...
[1602771148.7205389]         [Thread #26]      Running DIAMOND...
[1602771154.7552443]         [Thread #26]      Converting DIAMOND...
[1602771154.8620434]         [Thread #26]      Parsing DIAMOND...
[1602771155.0424871]         [Thread #26]      Annotating...
[1602771155.3805635]         [Thread #26]      Analyzing...
[1602771155.5052776]         [Thread #26]      Create read mapping...
[1602771169.7525852]         [Thread #26]    - [Thread #26] finished
[1602771150.943864]          [Thread #27]    - [Thread #27] running on [1/28] CPUs
[1602771150.9439406]         [Thread #27]      Creating output directories...
[1602771150.9469802]         [Thread #27]      Translating reads...
[1602771169.6801167]         [Thread #27]      Running DIAMOND...
[1602771176.0267663]         [Thread #27]      Converting DIAMOND...
[1602771176.1489246]         [Thread #27]      Parsing DIAMOND...
[1602771176.2918332]         [Thread #27]      Annotating...
[1602771176.388954]          [Thread #27]      Analyzing...
[1602771176.6748462]         [Thread #27]      Create read mapping...
[1602771190.6830971]         [Thread #27]    - [Thread #27] finished
[1602771214.111866]          [Thread #30]    - [Thread #30] running on [1/28] CPUs
[1602771214.1119509]         [Thread #30]      Creating output directories...
[1602771214.115299]          [Thread #30]      Translating reads...
[1602771234.7218275]         [Thread #30]      Running DIAMOND...
[1602771240.8679602]         [Thread #30]      Converting DIAMOND...
[1602771240.9958286]         [Thread #30]      Parsing DIAMOND...
[1602771241.1258132]         [Thread #30]      Annotating...
[1602771241.32208]           [Thread #30]      Analyzing...
[1602771241.624485]          [Thread #30]      Create read mapping...
[1602771256.3728375]         [Thread #30]    - [Thread #30] finished
[1602771279.1959658]         [Thread #33]    - [Thread #33] running on [1/28] CPUs
[1602771279.1960466]         [Thread #33]      Creating output directories...
[1602771279.1997287]         [Thread #33]      Translating reads...
[1602771298.154713]          [Thread #33]      Running DIAMOND...
[1602771304.1505582]         [Thread #33]      Converting DIAMOND...
[1602771304.2387908]         [Thread #33]      Parsing DIAMOND...
[1602771304.5166512]         [Thread #33]      Annotating...
[1602771304.8229854]         [Thread #33]      Analyzing...
[1602771304.9029586]         [Thread #33]      Create read mapping...
[1602771319.1887398]         [Thread #33]    - [Thread #33] finished
[1602771321.2709947]         [Thread #35]    - [Thread #35] running on [1/28] CPUs
[1602771321.2710674]         [Thread #35]      Creating output directories...
[1602771321.2742403]         [Thread #35]      Translating reads...
[1602771340.38206]           [Thread #35]      Running DIAMOND...
[1602771346.6083438]         [Thread #35]      Converting DIAMOND...
[1602771346.7038758]         [Thread #35]      Parsing DIAMOND...
[1602771346.8961992]         [Thread #35]      Annotating...
[1602771347.2468517]         [Thread #35]      Analyzing...
[1602771347.4155197]         [Thread #35]      Create read mapping...
[1602771361.0185292]         [Thread #35]    - [Thread #35] finished
[1602771405.3541844]         [Thread #39]    - [Thread #39] running on [1/28] CPUs
[1602771405.3542697]         [Thread #39]      Creating output directories...
[1602771405.3575115]         [Thread #39]      Translating reads...
[1602771423.9032042]         [Thread #39]      Running DIAMOND...
[1602771429.949997]          [Thread #39]      Converting DIAMOND...
[1602771430.029629]          [Thread #39]      Parsing DIAMOND...
[1602771430.247052]          [Thread #39]      Annotating...
[1602771430.2648356]         [Thread #39]      Analyzing...
