ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,2,576,0.1,0.01,(0.8, 0.7),128,100,0.005,512,0.3288978934288025
1,1,2,576,0.1,0.01,(0.8, 0.7),128,100,0.005,512,0.3288978934288025
1,1,3,576,0.1,0.001,(0.98, 0.9),104,100,0.005,512,0.31999897956848145
1,1,3,576,0.1,0.001,(0.98, 0.9),104,100,0.005,512,0.31999897956848145
1,1,2,576,0.1,0.001,(0.8, 0.7),128,100,0.01,512,0.32760006189346313
1,1,2,576,0.1,0.001,(0.8, 0.7),128,100,0.01,512,0.32760006189346313
1,1,2,576,1.0,0.001,(0.8, 0.7),128,75,0.002,1024,0.3216661810874939
1,1,2,576,1.0,0.001,(0.8, 0.7),128,75,0.002,1024,0.3216661810874939
1,1,4,576,1.0,0.001,(0.98, 0.9),56,125,0.01,1024,0.2566245198249817
1,1,4,576,1.0,0.001,(0.98, 0.9),56,125,0.01,1024,0.2566245198249817
1,1,3,1152,1.0,0.1,(0.8, 0.7),56,125,0.005,1024,0.2728310823440552
1,1,3,1152,1.0,0.1,(0.8, 0.7),56,125,0.005,1024,0.2728310823440552
1,1,3,576,0.1,0.1,(0.8, 0.7),128,75,0.002,1024,0.31119295954704285
1,1,3,576,0.1,0.1,(0.8, 0.7),128,75,0.002,1024,0.31119295954704285
1,1,2,576,0.1,0.1,(0.9, 0.8),104,75,0.005,1024,0.3253330588340759
1,1,2,576,0.1,0.1,(0.9, 0.8),104,75,0.005,1024,0.3253330588340759
1,1,2,1152,1.0,0.1,(0.98, 0.9),128,100,0.005,512,0.32186371088027954
1,1,2,1152,1.0,0.1,(0.98, 0.9),128,100,0.005,512,0.32186371088027954
1,1,3,1152,1.0,0.01,(0.98, 0.9),128,100,0.002,1024,0.3075556755065918
1,1,3,1152,1.0,0.01,(0.98, 0.9),128,100,0.002,1024,0.3075556755065918
1,1,3,576,0.1,0.1,(0.8, 0.7),128,75,0.005,512,0.32136720418930054
1,1,3,576,0.1,0.1,(0.8, 0.7),128,75,0.005,512,0.32136720418930054
1,1,3,1152,1.0,0.001,(0.98, 0.9),128,100,0.002,512,0.31650829315185547
1,1,3,1152,1.0,0.001,(0.98, 0.9),128,100,0.002,512,0.31650829315185547
1,1,3,1152,0.1,0.1,(0.8, 0.7),128,75,0.01,512,0.25308844447135925
1,1,3,1152,0.1,0.1,(0.8, 0.7),128,75,0.01,512,0.25308844447135925
1,1,2,1152,0.1,0.1,(0.8, 0.7),104,125,0.005,1024,0.29926955699920654
1,1,2,1152,0.1,0.1,(0.8, 0.7),104,125,0.005,1024,0.29926955699920654
1,1,2,1152,1.0,0.01,(0.9, 0.8),56,100,0.01,1024,0.3195454478263855
1,1,2,1152,1.0,0.01,(0.9, 0.8),56,100,0.01,1024,0.3195454478263855
1,1,3,576,1.0,0.1,(0.9, 0.8),104,100,0.005,1024,0.311581552028656
1,1,3,576,1.0,0.1,(0.9, 0.8),104,100,0.005,1024,0.311581552028656
1,1,3,1152,1.0,0.1,(0.8, 0.7),128,125,0.005,512,0.2848808765411377
1,1,3,1152,1.0,0.1,(0.8, 0.7),128,125,0.005,512,0.2848808765411377
1,1,3,576,1.0,0.01,(0.8, 0.7),128,100,0.002,1024,0.29619285464286804
1,1,3,576,1.0,0.01,(0.8, 0.7),128,100,0.002,1024,0.29619285464286804
1,1,4,1152,0.1,0.01,(0.98, 0.9),128,100,0.002,1024,0.2877578139305115
1,1,4,1152,0.1,0.01,(0.98, 0.9),128,100,0.002,1024,0.2877578139305115
1,1,4,1152,0.1,0.001,(0.9, 0.8),56,100,0.005,1024,0.2531508803367615
1,1,4,1152,0.1,0.001,(0.9, 0.8),56,100,0.005,1024,0.2531508803367615
1,1,4,1152,0.1,0.001,(0.9, 0.8),104,100,0.002,512,0.30446335673332214
1,1,4,1152,0.1,0.001,(0.9, 0.8),104,100,0.002,512,0.30446335673332214
1,1,3,1152,1.0,0.1,(0.8, 0.7),104,125,0.005,1024,0.2791440486907959
1,1,3,1152,1.0,0.1,(0.8, 0.7),104,125,0.005,1024,0.2791440486907959
1,1,3,1152,0.1,0.01,(0.8, 0.7),104,125,0.005,512,0.26896774768829346
1,1,3,1152,0.1,0.01,(0.8, 0.7),104,125,0.005,512,0.26896774768829346
1,1,4,576,0.1,0.1,(0.8, 0.7),56,100,0.01,512,0.2531660199165344
1,1,4,576,0.1,0.1,(0.8, 0.7),56,100,0.01,512,0.2531660199165344
1,1,3,576,1.0,0.1,(0.98, 0.9),128,75,0.01,512,0.3247811198234558
1,1,3,576,1.0,0.1,(0.98, 0.9),128,75,0.01,512,0.3247811198234558
1,1,4,1152,1.0,0.001,(0.9, 0.8),104,75,0.002,512,0.2530919313430786
1,1,4,1152,1.0,0.001,(0.9, 0.8),104,75,0.002,512,0.2530919313430786
1,1,2,1152,1.0,0.1,(0.8, 0.7),104,100,0.01,1024,0.3164316415786743
1,1,2,1152,1.0,0.1,(0.8, 0.7),104,100,0.01,1024,0.3164316415786743
1,1,2,1152,0.1,0.1,(0.9, 0.8),104,100,0.002,512,0.29765233397483826
1,1,2,1152,0.1,0.1,(0.9, 0.8),104,100,0.002,512,0.29765233397483826
1,1,3,1152,1.0,0.1,(0.8, 0.7),128,125,0.01,512,0.25355130434036255
1,1,3,1152,1.0,0.1,(0.8, 0.7),128,125,0.01,512,0.25355130434036255
1,1,2,576,1.0,0.01,(0.8, 0.7),56,100,0.002,1024,0.2939438223838806
1,1,2,576,1.0,0.01,(0.8, 0.7),56,100,0.002,1024,0.2939438223838806
1,1,4,576,1.0,0.001,(0.9, 0.8),128,75,0.01,1024,0.2535572052001953
1,1,4,576,1.0,0.001,(0.9, 0.8),128,75,0.01,1024,0.2535572052001953
1,1,4,1152,1.0,0.01,(0.9, 0.8),56,75,0.005,512,0.25308844447135925
1,1,4,1152,1.0,0.01,(0.9, 0.8),56,75,0.005,512,0.25308844447135925
1,1,3,1152,1.0,0.01,(0.8, 0.7),104,125,0.002,1024,0.293827623128891
1,1,3,1152,1.0,0.01,(0.8, 0.7),104,125,0.002,1024,0.293827623128891
1,1,2,1152,0.1,0.001,(0.9, 0.8),104,75,0.01,1024,0.3262680470943451
1,1,2,1152,0.1,0.001,(0.9, 0.8),104,75,0.01,1024,0.3262680470943451
1,1,2,576,0.1,0.1,(0.9, 0.8),128,100,0.005,512,0.3286420702934265
1,1,2,576,0.1,0.1,(0.9, 0.8),128,100,0.005,512,0.3286420702934265
1,1,2,576,0.1,0.001,(0.98, 0.9),128,100,0.002,1024,0.30696290731430054
1,1,2,576,0.1,0.001,(0.98, 0.9),128,100,0.002,1024,0.30696290731430054
1,1,3,1152,0.1,0.01,(0.98, 0.9),128,75,0.005,1024,0.28232723474502563
1,1,3,1152,0.1,0.01,(0.98, 0.9),128,75,0.005,1024,0.28232723474502563
1,1,3,576,0.1,0.01,(0.9, 0.8),56,75,0.005,1024,0.25850361585617065
1,1,3,576,0.1,0.01,(0.9, 0.8),56,75,0.005,1024,0.25850361585617065
1,1,3,576,1.0,0.001,(0.9, 0.8),104,75,0.01,512,0.3323111832141876
1,1,3,576,1.0,0.001,(0.9, 0.8),104,75,0.01,512,0.3323111832141876
1,1,3,576,0.1,0.01,(0.8, 0.7),128,125,0.005,512,0.31520313024520874
1,1,3,576,0.1,0.01,(0.8, 0.7),128,125,0.005,512,0.31520313024520874
1,1,4,576,0.1,0.001,(0.98, 0.9),104,75,0.01,1024,0.25349563360214233
1,1,4,576,0.1,0.001,(0.98, 0.9),104,75,0.01,1024,0.25349563360214233
