ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,3,576,1.0,0.1,(0.98, 0.9),128,75,0.01,512,0.3466905355453491
1,1,4,1152,1.0,0.001,(0.9, 0.8),104,75,0.002,512,0.29940539598464966
1,1,2,1152,1.0,0.1,(0.8, 0.7),104,100,0.01,1024,0.3145390450954437
1,1,2,1152,0.1,0.1,(0.9, 0.8),104,100,0.002,512,0.32702261209487915
1,1,3,1152,1.0,0.1,(0.8, 0.7),128,125,0.01,512,0.20733705163002014
1,1,2,576,1.0,0.01,(0.8, 0.7),56,100,0.002,1024,0.30040037631988525
1,1,4,576,1.0,0.001,(0.9, 0.8),128,75,0.01,1024,0.2087174654006958
1,1,4,1152,1.0,0.01,(0.9, 0.8),56,75,0.005,512,0.20931857824325562
1,1,3,1152,1.0,0.01,(0.8, 0.7),104,125,0.002,1024,0.3049277365207672
1,1,2,1152,0.1,0.001,(0.9, 0.8),104,75,0.01,1024,0.3290907144546509
1,1,2,576,0.1,0.1,(0.9, 0.8),128,100,0.005,512,0.3446310758590698
1,1,2,576,0.1,0.001,(0.98, 0.9),128,100,0.002,1024,0.30879101157188416
1,1,3,1152,0.1,0.01,(0.98, 0.9),128,75,0.005,1024,0.2093641310930252
1,1,3,576,0.1,0.01,(0.9, 0.8),56,75,0.005,1024,0.28756076097488403
1,1,3,576,1.0,0.001,(0.9, 0.8),104,75,0.01,512,0.31800565123558044
1,1,3,576,0.1,0.01,(0.8, 0.7),128,125,0.005,512,0.33820536732673645
1,1,4,576,0.1,0.001,(0.98, 0.9),104,75,0.01,1024,0.20743274688720703
1,1,3,576,0.1,0.001,(0.98, 0.9),104,75,0.01,512,0.3506554067134857
1,1,4,1152,1.0,0.1,(0.98, 0.9),56,125,0.01,512,0.20733705163002014
1,1,3,1152,1.0,0.1,(0.9, 0.8),104,125,0.002,512,0.31232813000679016
1,1,4,576,1.0,0.001,(0.9, 0.8),128,75,0.01,512,0.2093164175748825
1,1,3,1152,0.1,0.01,(0.9, 0.8),56,100,0.005,1024,0.2073710858821869
1,1,4,576,0.1,0.001,(0.98, 0.9),104,75,0.005,1024,0.3081141710281372
1,1,3,576,0.1,0.001,(0.8, 0.7),56,75,0.002,512,0.3099457621574402
1,1,3,1152,1.0,0.001,(0.98, 0.9),56,100,0.01,512,0.25692492723464966
1,1,3,576,1.0,0.01,(0.8, 0.7),56,125,0.01,512,0.32604020833969116
1,1,3,576,0.1,0.001,(0.8, 0.7),104,100,0.002,1024,0.3073105216026306
1,1,2,1152,0.1,0.001,(0.98, 0.9),104,125,0.01,512,0.347975492477417
1,1,4,1152,1.0,0.001,(0.98, 0.9),128,125,0.01,1024,0.2073691487312317
1,1,4,1152,1.0,0.01,(0.8, 0.7),128,75,0.01,1024,0.20937283337116241
1,1,3,576,1.0,0.001,(0.9, 0.8),104,75,0.002,512,0.33695530891418457
1,1,4,576,0.1,0.001,(0.9, 0.8),128,75,0.01,512,0.20939022302627563
1,1,4,1152,1.0,0.01,(0.8, 0.7),56,125,0.002,512,0.3012678623199463
1,1,3,576,0.1,0.001,(0.98, 0.9),128,125,0.01,1024,0.2926269769668579
1,1,2,1152,0.1,0.1,(0.8, 0.7),104,100,0.005,1024,0.2076757848262787
1,1,3,1152,0.1,0.1,(0.9, 0.8),128,125,0.005,512,0.21729464828968048
1,1,4,1152,0.1,0.01,(0.8, 0.7),128,75,0.01,512,0.20723091065883636
1,1,4,1152,1.0,0.1,(0.8, 0.7),104,125,0.01,512,0.20733928680419922
1,1,3,576,1.0,0.1,(0.8, 0.7),128,100,0.01,512,0.33217230439186096
1,1,3,1152,1.0,0.001,(0.9, 0.8),56,125,0.01,512,0.3379129469394684
1,1,2,1152,0.1,0.01,(0.9, 0.8),104,100,0.002,512,0.3402669131755829
1,1,2,1152,1.0,0.01,(0.98, 0.9),56,75,0.002,1024,0.3086501657962799
1,1,3,1152,0.1,0.01,(0.98, 0.9),104,100,0.01,512,0.34013885259628296
1,1,4,576,1.0,0.001,(0.9, 0.8),104,125,0.002,512,0.31152233481407166
1,1,4,576,0.1,0.01,(0.98, 0.9),56,75,0.005,512,0.2095290869474411
1,1,2,1152,0.1,0.001,(0.98, 0.9),128,125,0.005,1024,0.31590431928634644
1,1,3,576,0.1,0.001,(0.98, 0.9),128,75,0.01,1024,0.332293838262558
1,1,3,1152,1.0,0.1,(0.8, 0.7),56,75,0.002,1024,0.2813758850097656
1,1,2,1152,1.0,0.001,(0.8, 0.7),128,75,0.002,1024,0.3135742247104645
1,1,4,1152,0.1,0.01,(0.8, 0.7),128,125,0.01,512,0.20928128063678741
1,1,3,1152,0.1,0.001,(0.98, 0.9),104,75,0.002,1024,0.3254101574420929
1,1,3,576,0.1,0.01,(0.98, 0.9),104,100,0.002,512,0.33716145157814026
1,1,2,1152,0.1,0.001,(0.9, 0.8),128,75,0.01,512,0.35089409351348877
1,1,4,576,1.0,0.001,(0.8, 0.7),56,75,0.002,1024,0.29928603768348694
1,1,4,1152,1.0,0.01,(0.9, 0.8),104,100,0.002,512,0.20722439885139465
1,1,4,1152,1.0,0.01,(0.98, 0.9),128,125,0.01,1024,0.20957227051258087
1,1,3,1152,0.1,0.1,(0.8, 0.7),56,125,0.002,1024,0.23426367342472076
1,1,2,576,1.0,0.001,(0.9, 0.8),56,100,0.002,1024,0.2953554689884186
1,1,2,1152,0.1,0.01,(0.98, 0.9),56,100,0.01,1024,0.25331640243530273
1,1,2,576,0.1,0.001,(0.98, 0.9),128,125,0.002,512,0.3174419701099396
1,1,4,1152,1.0,0.001,(0.9, 0.8),128,75,0.01,512,0.20722438395023346
1,1,4,1152,0.1,0.001,(0.98, 0.9),104,100,0.01,512,0.20835068821907043
1,1,2,1152,1.0,0.1,(0.98, 0.9),128,125,0.002,1024,0.3116054832935333
1,1,4,576,0.1,0.001,(0.98, 0.9),56,125,0.005,512,0.20722992718219757
1,1,2,1152,1.0,0.001,(0.8, 0.7),104,75,0.002,512,0.3402951657772064
1,1,3,576,1.0,0.01,(0.98, 0.9),104,125,0.01,512,0.3404531478881836
1,1,3,576,0.1,0.01,(0.98, 0.9),128,125,0.01,512,0.33405137062072754
1,1,3,1152,1.0,0.1,(0.98, 0.9),128,125,0.005,1024,0.20772656798362732
1,1,3,1152,0.1,0.01,(0.98, 0.9),128,100,0.005,1024,0.22599999606609344
1,1,2,576,1.0,0.1,(0.98, 0.9),104,75,0.01,1024,0.3336198031902313
1,1,4,576,0.1,0.1,(0.9, 0.8),128,125,0.01,512,0.23152010142803192
1,1,3,576,1.0,0.01,(0.98, 0.9),104,125,0.01,1024,0.2550371289253235
1,1,2,576,0.1,0.1,(0.8, 0.7),56,125,0.01,512,0.3274531364440918
1,1,2,1152,1.0,0.001,(0.98, 0.9),128,75,0.005,512,0.34528648853302
1,1,4,1152,0.1,0.001,(0.98, 0.9),56,100,0.01,512,0.20931856334209442
1,1,4,576,1.0,0.1,(0.98, 0.9),56,100,0.01,1024,0.2073691338300705
1,1,3,576,1.0,0.001,(0.8, 0.7),128,75,0.01,512,0.34811413288116455
1,1,2,1152,1.0,0.001,(0.98, 0.9),128,75,0.005,512,0.34398654103279114
1,1,2,576,0.1,0.1,(0.8, 0.7),104,125,0.01,512,0.33442410826683044
1,1,3,1152,1.0,0.001,(0.9, 0.8),128,75,0.002,512,0.34534943103790283
1,1,2,576,0.1,0.001,(0.8, 0.7),56,75,0.005,512,0.34893012046813965
1,1,2,576,0.1,0.01,(0.9, 0.8),56,100,0.002,512,0.31192272901535034
1,1,2,576,0.1,0.1,(0.8, 0.7),104,125,0.002,512,0.312540203332901
1,1,4,576,0.1,0.1,(0.98, 0.9),104,100,0.01,1024,0.2882773280143738
1,1,3,1152,0.1,0.1,(0.8, 0.7),56,75,0.005,1024,0.2223307490348816
1,1,3,1152,0.1,0.001,(0.98, 0.9),128,100,0.01,512,0.3481380343437195
1,1,4,1152,0.1,0.1,(0.98, 0.9),56,125,0.005,1024,0.2073691487312317
1,1,2,1152,1.0,0.01,(0.98, 0.9),128,75,0.01,1024,0.32886284589767456
1,1,3,576,1.0,0.001,(0.9, 0.8),104,100,0.01,512,0.20722004771232605
1,1,2,576,0.1,0.001,(0.8, 0.7),128,75,0.01,1024,0.31465497612953186
1,1,3,1152,0.1,0.001,(0.98, 0.9),104,75,0.005,1024,0.33341145515441895
1,1,4,576,1.0,0.1,(0.98, 0.9),104,100,0.002,1024,0.3008984327316284
1,1,2,1152,0.1,0.01,(0.9, 0.8),128,125,0.01,512,0.34380802512168884
1,1,3,1152,1.0,0.001,(0.9, 0.8),104,100,0.01,1024,0.2914453148841858
1,1,2,576,0.1,0.1,(0.9, 0.8),128,100,0.002,1024,0.30971091985702515
1,1,2,1152,0.1,0.001,(0.98, 0.9),56,100,0.01,1024,0.20916016399860382
1,1,4,1152,0.1,0.01,(0.9, 0.8),128,125,0.002,512,0.33369868993759155
1,1,4,576,1.0,0.1,(0.98, 0.9),104,125,0.01,512,0.22754018008708954
1,1,2,576,1.0,0.001,(0.98, 0.9),56,100,0.005,512,0.33264970779418945
1,1,2,576,1.0,0.01,(0.8, 0.7),56,125,0.01,1024,0.29950976371765137
1,1,3,1152,0.1,0.01,(0.8, 0.7),128,100,0.01,1024,0.2073691338300705
