ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.347012460231781
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525421679019928
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525421679019928
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.345479279756546
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.345479279756546
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3477955758571625
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3477955758571625
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.25239306688308716
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.25239306688308716
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.3372293710708618
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.3372293710708618
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2524184584617615
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2524184584617615
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3471122980117798
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3471122980117798
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3474811017513275
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3474811017513275
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25243908166885376
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25243908166885376
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.25240063667297363
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.25240063667297363
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.0022996878251433372
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.0022996878251433372
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.25251826643943787
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.25251826643943787
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.25251877307891846
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.25251877307891846
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.0022996878251433372
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.0022996878251433372
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2525068521499634
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2525068521499634
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.3266947567462921
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.3266947567462921
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.3048287630081177
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.3048287630081177
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2524034380912781
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2524034380912781
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2525451183319092
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2525451183319092
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2545868754386902
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2545868754386902
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34722062945365906
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34722062945365906
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3482241928577423
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3482241928577423
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3453264534473419
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3453264534473419
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.0022996878251433372
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.0022996878251433372
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2524573802947998
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2524573802947998
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525447905063629
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525447905063629
