 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602785240.647973]          [Thread #25]      Running DIAMOND...
[1602785246.2882874]         [Thread #25]      Converting DIAMOND...
[1602785246.3905923]         [Thread #25]      Parsing DIAMOND...
[1602785246.5112696]         [Thread #25]      Annotating...
[1602785246.8110046]         [Thread #25]      Analyzing...
[1602785247.1162622]         [Thread #25]      Create read mapping...
[1602785260.7025208]         [Thread #25]    - [Thread #25] finished
[1602785242.8921034]         [Thread #26]    - [Thread #26] running on [1/28] CPUs
[1602785242.8921912]         [Thread #26]      Creating output directories...
[1602785242.8939443]         [Thread #26]      Translating reads...
[1602785262.687678]          [Thread #26]      Running DIAMOND...
[1602785268.4195607]         [Thread #26]      Converting DIAMOND...
[1602785268.5115464]         [Thread #26]      Parsing DIAMOND...
[1602785268.640283]          [Thread #26]      Annotating...
[1602785268.8317745]         [Thread #26]      Analyzing...
[1602785269.0992646]         [Thread #26]      Create read mapping...
[1602785284.5794756]         [Thread #26]    - [Thread #26] finished
[1602785264.7890491]         [Thread #27]    - [Thread #27] running on [1/28] CPUs
[1602785264.7891343]         [Thread #27]      Creating output directories...
[1602785264.7918336]         [Thread #27]      Translating reads...
[1602785284.5215275]         [Thread #27]      Running DIAMOND...
[1602785290.1767488]         [Thread #27]      Converting DIAMOND...
[1602785290.294418]          [Thread #27]      Parsing DIAMOND...
[1602785290.4993348]         [Thread #27]      Annotating...
[1602785290.8262198]         [Thread #27]      Analyzing...
[1602785291.0982018]         [Thread #27]      Create read mapping...
[1602785305.9557924]         [Thread #27]    - [Thread #27] finished
[1602785286.802825]          [Thread #28]    - [Thread #28] running on [1/28] CPUs
[1602785286.8029056]         [Thread #28]      Creating output directories...
[1602785286.8046126]         [Thread #28]      Translating reads...
[1602785306.5848327]         [Thread #28]      Running DIAMOND...
[1602785312.414527]          [Thread #28]      Converting DIAMOND...
[1602785312.5154335]         [Thread #28]      Parsing DIAMOND...
[1602785312.7258878]         [Thread #28]      Annotating...
[1602785313.0667408]         [Thread #28]      Analyzing...
[1602785313.2959445]         [Thread #28]      Create read mapping...
[1602785328.479251]          [Thread #28]    - [Thread #28] finished
[1602785308.7671986]         [Thread #29]    - [Thread #29] running on [1/28] CPUs
[1602785308.767258]          [Thread #29]      Creating output directories...
[1602785308.7681513]         [Thread #29]      Translating reads...
[1602785328.480117]          [Thread #29]      Running DIAMOND...
[1602785334.1104062]         [Thread #29]      Converting DIAMOND...
[1602785334.2084806]         [Thread #29]      Parsing DIAMOND...
[1602785334.369918]          [Thread #29]      Annotating...
[1602785334.700567]          [Thread #29]      Analyzing...
[1602785334.9533672]         [Thread #29]      Create read mapping...
[1602785349.7052112]         [Thread #29]    - [Thread #29] finished
[1602785330.6583822]         [Thread #30]    - [Thread #30] running on [1/28] CPUs
[1602785330.6584802]         [Thread #30]      Creating output directories...
