,t-SNE1,t-SNE2,metaseek_env_package
255,1.9812149,-2.9988363,host-associated
256,-2.2275205,4.7056556,host-associated
257,-2.4104266,-8.529237,host-associated
258,-5.175155,8.582879,host-associated
259,-1.6434453,-7.8955827,host-associated
260,-2.121707,5.266163,host-associated
261,-4.21256,5.276079,host-associated
262,-1.4434949,-8.56341,host-associated
263,-1.8738327,0.6474476,host-associated
264,-0.6454103,7.5945296,host-associated
265,-1.3788158,-8.341388,host-associated
266,-1.3194792,10.069427,host-associated
267,-8.073858,-4.681215,host-associated
268,-1.6692935,2.765953,host-associated
269,-5.2321944,-5.913146,host-associated
270,2.9557736,0.1618334,host-associated
271,-1.8421948,-7.3878765,host-associated
272,3.1182113,-1.430457,host-associated
273,2.8277683,-0.3776497,host-associated
274,-1.6275101,-8.50689,host-associated
275,6.2762604,-4.0581884,host-associated
276,-0.7528539,9.48489,host-associated
277,-4.6570034,9.78976,host-associated
278,-3.3882344,7.4945774,host-associated
279,-3.4575007,7.518404,host-associated
280,-2.844551,7.2044144,host-associated
281,3.7247992,-1.835722,host-associated
282,-1.2628374,10.198355,host-associated
283,-1.3181597,10.215579,host-associated
284,-1.7384285,-6.6033177,host-associated
285,-7.193975,7.4720244,host-associated
286,7.38951,-6.1501403,host-associated
287,1.4398799,1.4399838,host-associated
288,-0.75935495,9.302464,host-associated
289,-3.7712655,7.473043,host-associated
290,-5.190248,9.573561,host-associated
291,-5.3040524,-5.616315,host-associated
292,-1.5565985,10.44251,host-associated
293,-3.1114755,7.180803,host-associated
294,-0.6458044,8.510628,host-associated
295,-0.7430805,8.850389,host-associated
296,-7.5199246,-4.7671404,host-associated
297,-7.2790093,-5.072774,host-associated
298,-4.9608216,5.0852704,host-associated
299,-3.4227436,7.5244284,host-associated
300,-5.1459293,-6.669921,host-associated
301,4.9069443,-5.193487,host-associated
302,-1.5434133,10.550064,host-associated
303,-3.813822,5.0933585,host-associated
304,-5.0838227,4.549031,host-associated
305,-1.1606002,7.9537187,host-associated
306,-3.1202078,7.3235755,host-associated
307,-4.3824096,9.429331,host-associated
308,-2.7745867,-6.041629,host-associated
309,-2.246462,-6.9346514,host-associated
310,-6.6919765,-7.2686872,host-associated
311,-1.2624134,9.918644,host-associated
312,-4.9850082,4.8200307,host-associated
313,-7.1375895,-6.614009,host-associated
314,-2.1071517,3.331724,host-associated
315,1.4469409,1.4186026,host-associated
