ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,2,1152,1.0,0.0001,"(0.9, 0.8)",128,125,0.005,512,0.3540804982185364
1,1,3,576,0.1,0.1,"(0.8, 0.7)",128,150,0.01,512,0.2524383068084717
1,1,4,1152,0.1,0.001,"(0.98, 0.9)",104,125,0.002,512,0.2524023354053497
1,1,3,576,0.1,0.001,"(0.98, 0.9)",56,100,0.005,1024,0.3197616636753082
1,1,4,576,1.0,0.0001,"(0.8, 0.7)",56,150,0.002,1024,0.29597318172454834
1,1,3,1152,0.1,0.001,"(0.8, 0.7)",128,125,0.005,1024,0.2568189203739166
1,1,4,1152,0.1,0.001,"(0.9, 0.8)",56,125,0.005,1024,0.2524018883705139
1,1,3,576,0.1,0.0001,"(0.9, 0.8)",104,100,0.002,512,0.35218295454978943
1,1,4,576,1.0,0.0001,"(0.9, 0.8)",128,125,0.002,512,0.3364701569080353
1,1,4,576,1.0,0.0001,"(0.98, 0.9)",104,125,0.005,512,0.30761095881462097
1,1,4,576,1.0,0.1,"(0.98, 0.9)",128,150,0.005,512,0.002301277592778206
1,1,2,576,1.0,0.001,"(0.98, 0.9)",128,125,0.005,1024,0.3368762731552124
1,1,3,576,0.1,0.01,"(0.8, 0.7)",104,125,0.01,512,0.0023059374652802944
1,1,4,1152,1.0,0.0001,"(0.98, 0.9)",128,125,0.01,1024,0.2525099813938141
1,1,3,1152,0.1,0.001,"(0.98, 0.9)",104,100,0.01,512,0.3630161583423615
1,1,3,576,0.1,0.01,"(0.98, 0.9)",56,150,0.005,512,0.33769530057907104
1,1,2,576,1.0,0.0001,"(0.98, 0.9)",56,125,0.005,512,0.35036078095436096
1,1,4,1152,1.0,0.1,"(0.8, 0.7)",56,125,0.002,1024,0.2504447102546692
1,1,4,576,0.1,0.01,"(0.9, 0.8)",104,150,0.005,1024,0.2525451183319092
1,1,4,576,0.1,0.0001,"(0.8, 0.7)",56,100,0.005,512,0.002301276894286275
1,1,4,1152,1.0,0.001,"(0.8, 0.7)",56,125,0.005,1024,0.2525181174278259
1,1,2,1152,0.1,0.001,"(0.98, 0.9)",104,125,0.002,512,0.3508710861206055
1,1,3,1152,0.1,0.1,"(0.8, 0.7)",56,100,0.002,512,0.3429851531982422
1,1,3,1152,1.0,0.001,"(0.98, 0.9)",128,125,0.005,1024,0.3090275228023529
1,1,2,576,1.0,0.1,"(0.8, 0.7)",128,150,0.002,512,0.3393734395503998
1,1,4,576,1.0,0.1,"(0.98, 0.9)",128,125,0.002,512,0.31977689266204834
1,1,2,576,1.0,0.1,"(0.9, 0.8)",128,150,0.002,512,0.3422484397888184
1,1,2,1152,0.1,0.0001,"(0.98, 0.9)",56,100,0.005,1024,0.3340371549129486
1,1,2,1152,0.1,0.0001,"(0.98, 0.9)",128,150,0.005,1024,0.3405231833457947
1,1,4,576,1.0,0.01,"(0.9, 0.8)",104,150,0.002,512,0.2976865172386169
1,1,3,576,0.1,0.001,"(0.8, 0.7)",128,100,0.005,512,0.2988329529762268
1,1,3,1152,1.0,0.0001,"(0.8, 0.7)",56,100,0.002,1024,0.3140637576580048
1,1,4,576,1.0,0.001,"(0.8, 0.7)",128,150,0.005,512,0.2546081840991974
1,1,3,1152,1.0,0.1,"(0.9, 0.8)",56,125,0.005,1024,0.0022996878251433372
1,1,4,1152,1.0,0.0001,"(0.8, 0.7)",104,125,0.005,512,0.2524023354053497
1,1,2,1152,1.0,0.001,"(0.9, 0.8)",56,150,0.002,1024,0.31934383511543274
1,1,4,576,0.1,0.01,"(0.9, 0.8)",128,100,0.01,1024,0.25478485226631165
1,1,3,1152,0.1,0.001,"(0.8, 0.7)",104,125,0.005,512,0.2524023354053497
1,1,4,576,1.0,0.0001,"(0.9, 0.8)",56,150,0.005,512,0.3009021580219269
1,1,3,576,0.1,0.001,"(0.9, 0.8)",56,100,0.002,512,0.3196291923522949
1,1,3,1152,0.1,0.1,"(0.9, 0.8)",128,125,0.002,1024,0.3264039158821106
1,1,2,1152,1.0,0.01,"(0.9, 0.8)",104,125,0.005,1024,0.342744380235672
1,1,4,576,1.0,0.0001,"(0.98, 0.9)",56,150,0.002,512,0.30909034609794617
1,1,3,576,0.1,0.1,"(0.9, 0.8)",128,125,0.002,512,0.3518291413784027
1,1,4,576,0.1,0.1,"(0.98, 0.9)",104,100,0.01,1024,0.2524707019329071
1,1,2,1152,0.1,0.01,"(0.98, 0.9)",128,100,0.005,1024,0.34967660903930664
1,1,2,576,0.1,0.001,"(0.9, 0.8)",56,125,0.002,1024,0.3203673660755157
1,1,3,576,1.0,0.0001,"(0.9, 0.8)",104,100,0.005,512,0.3546288013458252
1,1,4,1152,0.1,0.001,"(0.8, 0.7)",56,100,0.01,1024,0.2545846402645111
1,1,4,576,1.0,0.001,"(0.8, 0.7)",104,150,0.005,512,0.002301277592778206
1,1,4,1152,1.0,0.1,"(0.9, 0.8)",128,150,0.002,512,0.25244683027267456
1,1,2,576,1.0,0.001,"(0.8, 0.7)",56,125,0.01,512,0.3489143848419189
1,1,2,1152,1.0,0.01,"(0.9, 0.8)",128,150,0.002,512,0.3426300883293152
1,1,4,576,1.0,0.0001,"(0.9, 0.8)",128,125,0.01,1024,0.25246095657348633
1,1,2,576,0.1,0.001,"(0.8, 0.7)",128,100,0.01,1024,0.34367477893829346
1,1,3,576,0.1,0.001,"(0.8, 0.7)",128,125,0.002,512,0.3490423560142517
1,1,2,576,0.1,0.01,"(0.9, 0.8)",128,100,0.002,1024,0.3340041935443878
1,1,3,576,1.0,0.001,"(0.98, 0.9)",104,150,0.005,512,0.3475404381752014
1,1,3,1152,1.0,0.01,"(0.9, 0.8)",56,100,0.005,1024,0.3346751034259796
1,1,2,576,0.1,0.1,"(0.98, 0.9)",56,100,0.01,512,0.3582537770271301
1,1,2,576,0.1,0.01,"(0.98, 0.9)",104,100,0.01,512,0.35949838161468506
1,1,3,1152,1.0,0.0001,"(0.8, 0.7)",56,100,0.002,512,0.3459470272064209
1,1,3,576,1.0,0.1,"(0.8, 0.7)",128,150,0.005,1024,0.3197290599346161
1,1,3,576,1.0,0.0001,"(0.8, 0.7)",104,150,0.005,512,0.33963340520858765
1,1,3,1152,0.1,0.1,"(0.98, 0.9)",56,150,0.002,512,0.3363735675811768
1,1,2,1152,1.0,0.01,"(0.9, 0.8)",56,100,0.01,512,0.3530832529067993
1,1,4,1152,1.0,0.0001,"(0.98, 0.9)",128,150,0.005,1024,0.2544432282447815
1,1,3,576,1.0,0.1,"(0.98, 0.9)",56,150,0.01,512,0.341594398021698
1,1,3,576,0.1,0.1,"(0.8, 0.7)",56,150,0.005,512,0.25253787636756897
1,1,2,1152,1.0,0.01,"(0.9, 0.8)",128,125,0.002,512,0.3483276665210724
1,1,3,576,1.0,0.0001,"(0.8, 0.7)",128,100,0.002,512,0.3529317378997803
1,1,2,576,0.1,0.0001,"(0.9, 0.8)",128,125,0.01,1024,0.33490005135536194
1,1,3,576,1.0,0.01,"(0.98, 0.9)",128,100,0.002,1024,0.32062485814094543
1,1,3,576,1.0,0.0001,"(0.9, 0.8)",56,150,0.005,512,0.3224740028381348
1,1,2,576,1.0,0.0001,"(0.98, 0.9)",104,100,0.005,512,0.35505738854408264
1,1,4,1152,1.0,0.01,"(0.8, 0.7)",56,150,0.002,512,0.30825600028038025
1,1,2,576,1.0,0.0001,"(0.8, 0.7)",56,150,0.002,1024,0.3232473134994507
1,1,4,576,1.0,0.001,"(0.98, 0.9)",104,125,0.01,1024,0.25251734256744385
1,1,3,576,1.0,0.01,"(0.98, 0.9)",56,100,0.002,1024,0.31896770000457764
1,1,4,576,1.0,0.001,"(0.98, 0.9)",128,150,0.005,512,0.2524457573890686
1,1,4,1152,0.1,0.0001,"(0.98, 0.9)",56,100,0.002,1024,0.25249171257019043
1,1,4,576,1.0,0.01,"(0.8, 0.7)",56,125,0.002,512,0.3131268918514252
1,1,4,1152,0.1,0.01,"(0.9, 0.8)",128,150,0.01,512,0.252446711063385
1,1,3,1152,0.1,0.01,"(0.98, 0.9)",56,125,0.005,1024,0.328965961933136
1,1,3,576,1.0,0.1,"(0.9, 0.8)",128,125,0.005,1024,0.3225853443145752
1,1,4,1152,1.0,0.01,"(0.9, 0.8)",104,100,0.01,1024,0.2524900436401367
1,1,4,576,0.1,0.1,"(0.9, 0.8)",56,100,0.01,1024,0.2525697350502014
1,1,3,576,0.1,0.001,"(0.9, 0.8)",104,150,0.002,512,0.3351304829120636
1,1,2,576,1.0,0.0001,"(0.98, 0.9)",56,150,0.005,1024,0.32981181144714355
1,1,4,576,1.0,0.1,"(0.98, 0.9)",128,100,0.002,1024,0.3030419945716858
1,1,2,1152,0.1,0.001,"(0.9, 0.8)",128,100,0.01,512,0.3588956594467163
1,1,4,1152,1.0,0.001,"(0.9, 0.8)",56,125,0.01,512,0.2533653378486633
1,1,4,576,1.0,0.001,"(0.8, 0.7)",128,100,0.002,1024,0.3095608353614807
1,1,3,1152,0.1,0.001,"(0.98, 0.9)",104,150,0.005,1024,0.3191553652286529
1,1,4,1152,0.1,0.001,"(0.8, 0.7)",56,150,0.002,1024,0.2525491416454315
1,1,4,576,0.1,0.0001,"(0.9, 0.8)",128,125,0.002,1024,0.29625454545021057
1,1,2,576,0.1,0.0001,"(0.8, 0.7)",104,150,0.01,1024,0.3330788314342499
1,1,2,1152,0.1,0.001,"(0.9, 0.8)",104,125,0.002,1024,0.3320671916007996
1,1,3,576,0.1,0.0001,"(0.8, 0.7)",128,150,0.01,1024,0.25254541635513306
1,1,4,1152,1.0,0.0001,"(0.9, 0.8)",104,100,0.005,512,0.2525430917739868
1,1,3,1152,1.0,0.0001,"(0.98, 0.9)",128,100,0.002,1024,0.32725125551223755
1,1,3,1152,0.1,0.01,"(0.8, 0.7)",104,125,0.005,1024,0.0022996878251433372
1,1,4,1152,1.0,0.1,"(0.9, 0.8)",56,125,0.002,512,0.2563089430332184
1,1,2,1152,0.1,0.001,"(0.98, 0.9)",128,125,0.01,1024,0.33110737800598145
1,1,3,1152,1.0,0.001,"(0.98, 0.9)",104,100,0.002,1024,0.3312923014163971
1,1,4,1152,0.1,0.1,"(0.98, 0.9)",56,100,0.005,1024,0.2525860667228699
1,1,2,576,0.1,0.0001,"(0.98, 0.9)",104,100,0.002,512,0.3523035943508148
1,1,3,576,0.1,0.0001,"(0.8, 0.7)",56,150,0.005,1024,0.3071030080318451
