 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602775486.857624]          [Thread #24]      Creating output directories...
[1602775486.8592725]         [Thread #24]      Translating reads...
[1602775507.9258585]         [Thread #24]      Running DIAMOND...
[1602775513.8056004]         [Thread #24]      Converting DIAMOND...
[1602775513.9330995]         [Thread #24]      Parsing DIAMOND...
[1602775514.1107993]         [Thread #24]      Annotating...
[1602775514.598212]          [Thread #24]      Analyzing...
[1602775514.695101]          [Thread #24]      Create read mapping...
[1602775529.4108508]         [Thread #24]    - [Thread #24] finished
[1602775509.948629]          [Thread #25]    - [Thread #25] running on [1/28] CPUs
[1602775509.9487658]         [Thread #25]      Creating output directories...
[1602775509.9518378]         [Thread #25]      Translating reads...
[1602775529.413878]          [Thread #25]      Running DIAMOND...
[1602775535.3612545]         [Thread #25]      Converting DIAMOND...
[1602775535.465445]          [Thread #25]      Parsing DIAMOND...
[1602775535.6305096]         [Thread #25]      Annotating...
[1602775536.0296392]         [Thread #25]      Analyzing...
[1602775536.2842383]         [Thread #25]      Create read mapping...
[1602775551.4264247]         [Thread #25]    - [Thread #25] finished
[1602775531.5153036]         [Thread #26]    - [Thread #26] running on [1/28] CPUs
[1602775531.515349]          [Thread #26]      Creating output directories...
[1602775531.516461]          [Thread #26]      Translating reads...
[1602775551.204466]          [Thread #26]      Running DIAMOND...
[1602775557.085971]          [Thread #26]      Converting DIAMOND...
[1602775557.2027795]         [Thread #26]      Parsing DIAMOND...
[1602775557.4123547]         [Thread #26]      Annotating...
[1602775557.6819568]         [Thread #26]      Analyzing...
[1602775557.949256]          [Thread #26]      Create read mapping...
[1602775572.7924957]         [Thread #26]    - [Thread #26] finished
[1602775553.3722758]         [Thread #27]    - [Thread #27] running on [1/28] CPUs
[1602775553.3723662]         [Thread #27]      Creating output directories...
[1602775553.3737032]         [Thread #27]      Translating reads...
[1602775572.7324142]         [Thread #27]      Running DIAMOND...
[1602775578.5760317]         [Thread #27]      Converting DIAMOND...
[1602775578.6782928]         [Thread #27]      Parsing DIAMOND...
[1602775578.82672]           [Thread #27]      Annotating...
[1602775579.2120824]         [Thread #27]      Analyzing...
[1602775579.5132132]         [Thread #27]      Create read mapping...
[1602775595.1923494]         [Thread #27]    - [Thread #27] finished
[1602775574.9689183]         [Thread #28]    - [Thread #28] running on [1/28] CPUs
[1602775574.9690046]         [Thread #28]      Creating output directories...
[1602775574.970403]          [Thread #28]      Translating reads...
[1602775595.0405664]         [Thread #28]      Running DIAMOND...
[1602775601.2393486]         [Thread #28]      Converting DIAMOND...
[1602775601.3357153]         [Thread #28]      Parsing DIAMOND...
[1602775601.4948788]         [Thread #28]      Annotating...
[1602775601.6965652]         [Thread #28]      Analyzing...
[1602775601.8070512]         [Thread #28]      Create read mapping...
[1602775616.8599217]         [Thread #28]    - [Thread #28] finished
[1602775597.0933702]         [Thread #29]    - [Thread #29] running on [1/28] CPUs
[1602775597.0934525]         [Thread #29]      Creating output directories...
[1602775597.0947871]         [Thread #29]      Translating reads...
[1602775616.8539958]         [Thread #29]      Running DIAMOND...
[1602775622.8588424]         [Thread #29]      Converting DIAMOND...
[1602775622.972765]          [Thread #29]      Parsing DIAMOND...
[1602775623.1077325]         [Thread #29]      Annotating...
[1602775623.4320552]         [Thread #29]      Analyzing...
[1602775623.7248087]         [Thread #29]      Create read mapping...
[1602775638.0769546]         [Thread #29]    - [Thread #29] finished
[1602775618.9006538]         [Thread #30]    - [Thread #30] running on [1/28] CPUs
[1602775618.900797]          [Thread #30]      Creating output directories...
[1602775618.9021845]         [Thread #30]      Translating reads...
[1602775638.0244257]         [Thread #30]      Running DIAMOND...
[1602775644.0663078]         [Thread #30]      Converting DIAMOND...
[1602775644.185737]          [Thread #30]      Parsing DIAMOND...
