 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602775827.366549]          [Thread #29]      Create read mapping...
[1602775840.359155]          [Thread #29]    - [Thread #29] finished
[1602775822.3836384]         [Thread #30]    - [Thread #30] running on [1/28] CPUs
[1602775822.3837225]         [Thread #30]      Creating output directories...
[1602775823.203947]          [Thread #30]      Translating reads...
[1602775842.0916917]         [Thread #30]      Running DIAMOND...
[1602775847.888926]          [Thread #30]      Converting DIAMOND...
[1602775848.0213213]         [Thread #30]      Parsing DIAMOND...
[1602775848.1846168]         [Thread #30]      Annotating...
[1602775848.5814526]         [Thread #30]      Analyzing...
[1602775848.8367453]         [Thread #30]      Create read mapping...
[1602775863.6528015]         [Thread #30]    - [Thread #30] finished
[1602775843.5609286]         [Thread #31]    - [Thread #31] running on [1/28] CPUs
[1602775843.5610132]         [Thread #31]      Creating output directories...
[1602775844.4337304]         [Thread #31]      Translating reads...
[1602775864.0494976]         [Thread #31]      Running DIAMOND...
[1602775869.700109]          [Thread #31]      Converting DIAMOND...
[1602775869.8375726]         [Thread #31]      Parsing DIAMOND...
[1602775869.997133]          [Thread #31]      Annotating...
[1602775870.4168353]         [Thread #31]      Analyzing...
[1602775870.7293265]         [Thread #31]      Create read mapping...
[1602775886.283868]          [Thread #31]    - [Thread #31] finished
[1602775865.4753735]         [Thread #32]    - [Thread #32] running on [1/28] CPUs
[1602775865.4754624]         [Thread #32]      Creating output directories...
[1602775866.3881779]         [Thread #32]      Translating reads...
[1602775886.2641788]         [Thread #32]      Running DIAMOND...
[1602775892.109046]          [Thread #32]      Converting DIAMOND...
[1602775892.2242475]         [Thread #32]      Parsing DIAMOND...
[1602775892.4535859]         [Thread #32]      Annotating...
[1602775892.8109186]         [Thread #32]      Analyzing...
[1602775893.1263492]         [Thread #32]      Create read mapping...
[1602775909.1781507]         [Thread #32]    - [Thread #32] finished
[1602775887.6840363]         [Thread #33]    - [Thread #33] running on [1/28] CPUs
[1602775887.6841185]         [Thread #33]      Creating output directories...
[1602775888.5656557]         [Thread #33]      Translating reads...
[1602775909.4304073]         [Thread #33]      Running DIAMOND...
[1602775915.2141473]         [Thread #33]      Converting DIAMOND...
[1602775915.3540328]         [Thread #33]      Parsing DIAMOND...
[1602775915.5882182]         [Thread #33]      Annotating...
[1602775915.9371095]         [Thread #33]      Analyzing...
[1602775916.1305661]         [Thread #33]      Create read mapping...
[1602775931.2358487]         [Thread #33]    - [Thread #33] finished
[1602775911.0459387]         [Thread #34]    - [Thread #34] running on [1/28] CPUs
[1602775911.046046]          [Thread #34]      Creating output directories...
[1602775911.8666987]         [Thread #34]      Translating reads...
[1602775933.0878425]         [Thread #34]      Running DIAMOND...
[1602775938.7566416]         [Thread #34]      Converting DIAMOND...
[1602775938.8714733]         [Thread #34]      Parsing DIAMOND...
[1602775939.1805363]         [Thread #34]      Annotating...
[1602775939.6022866]         [Thread #34]      Analyzing...
[1602775939.9097872]         [Thread #34]      Create read mapping...
[1602775955.1911056]         [Thread #34]    - [Thread #34] finished
[1602775934.71648]           [Thread #35]    - [Thread #35] running on [1/28] CPUs
[1602775934.7165647]         [Thread #35]      Creating output directories...
[1602775935.5772884]         [Thread #35]      Translating reads...
[1602775955.1083326]         [Thread #35]      Running DIAMOND...
[1602775961.0357215]         [Thread #35]      Converting DIAMOND...
[1602775961.1863933]         [Thread #35]      Parsing DIAMOND...
[1602775961.4203994]         [Thread #35]      Annotating...
[1602775961.8504715]         [Thread #35]      Analyzing...
[1602775962.1576164]         [Thread #35]      Create read mapping...
[1602775977.896523]          [Thread #35]    - [Thread #35] finished
[1602775956.7051182]         [Thread #36]    - [Thread #36] running on [1/28] CPUs
[1602775956.7052]            [Thread #36]      Creating output directories...
[1602775957.5002978]         [Thread #36]      Translating reads...
[1602775977.8037763]         [Thread #36]      Running DIAMOND...
[1602775983.450863]          [Thread #36]      Converting DIAMOND...
