 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602771267.0793498]         [Thread #28]      Converting DIAMOND...
[1602771267.2115412]         [Thread #28]      Parsing DIAMOND...
[1602771267.4287615]         [Thread #28]      Annotating...
[1602771267.6561422]         [Thread #28]      Analyzing...
[1602771267.9573736]         [Thread #28]      Create read mapping...
[1602771283.2051816]         [Thread #28]    - [Thread #28] finished
[1602771285.3016555]         [Thread #30]    - [Thread #30] running on [1/28] CPUs
[1602771285.3017411]         [Thread #30]      Creating output directories...
[1602771285.303169]          [Thread #30]      Translating reads...
[1602771305.2397456]         [Thread #30]      Running DIAMOND...
[1602771310.8802848]         [Thread #30]      Converting DIAMOND...
[1602771310.9904807]         [Thread #30]      Parsing DIAMOND...
[1602771311.1341116]         [Thread #30]      Annotating...
[1602771311.5236511]         [Thread #30]      Analyzing...
[1602771311.8413808]         [Thread #30]      Create read mapping...
[1602771325.6326237]         [Thread #30]    - [Thread #30] finished
[1602771329.2638113]         [Thread #32]    - [Thread #32] running on [1/28] CPUs
[1602771329.2639005]         [Thread #32]      Creating output directories...
[1602771329.2654731]         [Thread #32]      Translating reads...
[1602771349.182129]          [Thread #32]      Running DIAMOND...
[1602771354.7506635]         [Thread #32]      Converting DIAMOND...
[1602771354.8790362]         [Thread #32]      Parsing DIAMOND...
[1602771355.0296597]         [Thread #32]      Annotating...
[1602771355.4503205]         [Thread #32]      Analyzing...
[1602771355.5645971]         [Thread #32]      Create read mapping...
[1602771370.6248605]         [Thread #32]    - [Thread #32] finished
[1602771394.398438]          [Thread #35]    - [Thread #35] running on [1/28] CPUs
[1602771394.3985217]         [Thread #35]      Creating output directories...
[1602771394.3997037]         [Thread #35]      Translating reads...
[1602771413.933198]          [Thread #35]      Running DIAMOND...
[1602771419.4594498]         [Thread #35]      Converting DIAMOND...
[1602771419.5853343]         [Thread #35]      Parsing DIAMOND...
[1602771419.8353596]         [Thread #35]      Annotating...
[1602771420.1581604]         [Thread #35]      Analyzing...
[1602771420.477246]          [Thread #35]      Create read mapping...
[1602771435.7220182]         [Thread #35]    - [Thread #35] finished
[1602771459.8696089]         [Thread #38]    - [Thread #38] running on [1/28] CPUs
[1602771459.869665]          [Thread #38]      Creating output directories...
[1602771459.8707676]         [Thread #38]      Translating reads...
[1602771479.5612915]         [Thread #38]      Running DIAMOND...
[1602771485.3382375]         [Thread #38]      Converting DIAMOND...
[1602771485.4537382]         [Thread #38]      Parsing DIAMOND...
[1602771485.6442034]         [Thread #38]      Annotating...
[1602771485.876679]          [Thread #38]      Analyzing...
[1602771486.1999402]         [Thread #38]      Create read mapping...
[1602771501.5793355]         [Thread #38]    - [Thread #38] finished
[1602771481.7921064]         [Thread #39]    - [Thread #39] running on [1/28] CPUs
[1602771481.792189]          [Thread #39]      Creating output directories...
[1602771481.793774]          [Thread #39]      Translating reads...
[1602771501.504839]          [Thread #39]      Running DIAMOND...
[1602771507.2034936]         [Thread #39]      Converting DIAMOND...
[1602771507.3332534]         [Thread #39]      Parsing DIAMOND...
[1602771507.5055096]         [Thread #39]      Annotating...
[1602771507.62369]           [Thread #39]      Analyzing...
[1602771507.9567893]         [Thread #39]      Create read mapping...
[1602771522.5282218]         [Thread #39]    - [Thread #39] finished
[1602771503.7488537]         [Thread #40]    - [Thread #40] running on [1/28] CPUs
[1602771503.7489116]         [Thread #40]      Creating output directories...
[1602771503.7506926]         [Thread #40]      Translating reads...
[1602771523.0002813]         [Thread #40]      Running DIAMOND...
[1602771528.464886]          [Thread #40]      Converting DIAMOND...
[1602771528.6033604]         [Thread #40]      Parsing DIAMOND...
[1602771528.8828955]         [Thread #40]      Annotating...
[1602771529.2361653]         [Thread #40]      Analyzing...
[1602771529.53826]           [Thread #40]      Create read mapping...
