 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602789693.7369485]         [Thread #14]      Running DIAMOND...
[1602789699.784006]          [Thread #14]      Converting DIAMOND...
[1602789699.8679485]         [Thread #14]      Parsing DIAMOND...
[1602789700.0397327]         [Thread #14]      Annotating...
[1602789700.2319038]         [Thread #14]      Analyzing...
[1602789700.4882824]         [Thread #14]      Create read mapping...
[1602789715.8318582]         [Thread #14]    - [Thread #14] finished
[1602789695.9585195]         [Thread #15]    - [Thread #15] running on [1/28] CPUs
[1602789695.9586089]         [Thread #15]      Creating output directories...
[1602789695.960182]          [Thread #15]      Translating reads...
[1602789715.7322352]         [Thread #15]      Running DIAMOND...
[1602789721.8665178]         [Thread #15]      Converting DIAMOND...
[1602789721.9806886]         [Thread #15]      Parsing DIAMOND...
[1602789722.2305846]         [Thread #15]      Annotating...
[1602789722.4623797]         [Thread #15]      Analyzing...
[1602789722.6575432]         [Thread #15]      Create read mapping...
[1602789738.0691304]         [Thread #15]    - [Thread #15] finished
[1602789718.0680392]         [Thread #16]    - [Thread #16] running on [1/28] CPUs
[1602789718.0681179]         [Thread #16]      Creating output directories...
[1602789718.0701444]         [Thread #16]      Translating reads...
[1602789738.0052524]         [Thread #16]      Running DIAMOND...
[1602789744.0782874]         [Thread #16]      Converting DIAMOND...
[1602789744.1683674]         [Thread #16]      Parsing DIAMOND...
[1602789744.293217]          [Thread #16]      Annotating...
[1602789744.5612416]         [Thread #16]      Analyzing...
[1602789744.839991]          [Thread #16]      Create read mapping...
[1602789759.5831308]         [Thread #16]    - [Thread #16] finished
[1602789740.6049163]         [Thread #17]    - [Thread #17] running on [1/28] CPUs
[1602789740.6050005]         [Thread #17]      Creating output directories...
[1602789740.6067934]         [Thread #17]      Translating reads...
[1602789759.5711443]         [Thread #17]      Running DIAMOND...
[1602789765.6560068]         [Thread #17]      Converting DIAMOND...
[1602789765.76844]           [Thread #17]      Parsing DIAMOND...
[1602789765.9355183]         [Thread #17]      Annotating...
[1602789766.1751475]         [Thread #17]      Analyzing...
[1602789766.3639588]         [Thread #17]      Create read mapping...
[1602789782.1435428]         [Thread #17]    - [Thread #17] finished
[1602789761.8408484]         [Thread #18]    - [Thread #18] running on [1/28] CPUs
[1602789761.840932]          [Thread #18]      Creating output directories...
[1602789761.842531]          [Thread #18]      Translating reads...
[1602789782.8978665]         [Thread #18]      Running DIAMOND...
[1602789788.861436]          [Thread #18]      Converting DIAMOND...
[1602789788.9721994]         [Thread #18]      Parsing DIAMOND...
[1602789789.1297846]         [Thread #18]      Annotating...
[1602789789.2948275]         [Thread #18]      Analyzing...
[1602789789.465377]          [Thread #18]      Create read mapping...
[1602789805.143181]          [Thread #18]    - [Thread #18] finished
[1602789785.0827253]         [Thread #19]    - [Thread #19] running on [1/28] CPUs
[1602789785.082816]          [Thread #19]      Creating output directories...
[1602789785.0843883]         [Thread #19]      Translating reads...
[1602789805.1170647]         [Thread #19]      Running DIAMOND...
[1602789811.1554582]         [Thread #19]      Converting DIAMOND...
[1602789811.275816]          [Thread #19]      Parsing DIAMOND...
[1602789811.42459]           [Thread #19]      Annotating...
[1602789811.6248968]         [Thread #19]      Analyzing...
[1602789811.8454478]         [Thread #19]      Create read mapping...
[1602789826.8410728]         [Thread #19]    - [Thread #19] finished
[1602789807.3152716]         [Thread #20]    - [Thread #20] running on [1/28] CPUs
[1602789807.3153105]         [Thread #20]      Creating output directories...
[1602789807.316937]          [Thread #20]      Translating reads...
[1602789826.741237]          [Thread #20]      Running DIAMOND...
[1602789832.812619]          [Thread #20]      Converting DIAMOND...
[1602789832.9098938]         [Thread #20]      Parsing DIAMOND...
[1602789833.0218592]         [Thread #20]      Annotating...
[1602789833.3124669]         [Thread #20]      Analyzing...
[1602789833.5176759]         [Thread #20]      Create read mapping...
[1602789848.7743568]         [Thread #20]    - [Thread #20] finished
[1602789829.1786041]         [Thread #21]    - [Thread #21] running on [1/28] CPUs
[1602789829.178642]          [Thread #21]      Creating output directories...
[1602789829.1806343]         [Thread #21]      Translating reads...
[1602789848.7742727]         [Thread #21]      Running DIAMOND...
[1602789854.9097674]         [Thread #21]      Converting DIAMOND...
[1602789854.9895763]         [Thread #21]      Parsing DIAMOND...
[1602789855.1581454]         [Thread #21]      Annotating...
[1602789855.4715412]         [Thread #21]      Analyzing...
[1602789855.7461865]         [Thread #21]      Create read mapping...
[1602789871.034045]          [Thread #21]    - [Thread #21] finished
[1602789850.9373426]         [Thread #22]    - [Thread #22] running on [1/28] CPUs
[1602789850.93743]           [Thread #22]      Creating output directories...
[1602789850.93937]           [Thread #22]      Translating reads...
[1602789871.0100834]         [Thread #22]      Running DIAMOND...
[1602789877.0221415]         [Thread #22]      Converting DIAMOND...
[1602789877.1208813]         [Thread #22]      Parsing DIAMOND...
[1602789877.249897]          [Thread #22]      Annotating...
[1602789877.3905523]         [Thread #22]      Analyzing...
[1602789877.4944625]         [Thread #22]      Create read mapping...
[1602789892.4772007]         [Thread #22]    - [Thread #22] finished
[1602789873.2294774]         [Thread #23]    - [Thread #23] running on [1/28] CPUs
[1602789873.2295651]         [Thread #23]      Creating output directories...
[1602789873.2315967]         [Thread #23]      Translating reads...
[1602789892.452708]          [Thread #23]      Running DIAMOND...
[1602789898.4876773]         [Thread #23]      Converting DIAMOND...
[1602789898.60146]           [Thread #23]      Parsing DIAMOND...
[1602789898.7351882]         [Thread #23]      Annotating...
[1602789898.9348063]         [Thread #23]      Analyzing...
[1602789899.1617334]         [Thread #23]      Create read mapping...
[1602789914.0108752]         [Thread #23]    - [Thread #23] finished
[1602789894.656075]          [Thread #24]    - [Thread #24] running on [1/28] CPUs
[1602789894.6561549]         [Thread #24]      Creating output directories...
[1602789894.6580818]         [Thread #24]      Translating reads...
[1602789913.992541]          [Thread #24]      Running DIAMOND...
[1602789920.0718415]         [Thread #24]      Converting DIAMOND...
[1602789920.189839]          [Thread #24]      Parsing DIAMOND...
[1602789920.3189511]         [Thread #24]      Annotating...
[1602789920.5856044]         [Thread #24]      Analyzing...
[1602789920.8569248]         [Thread #24]      Create read mapping...
[1602789937.2094061]         [Thread #24]    - [Thread #24] finished
[1602789916.1619341]         [Thread #25]    - [Thread #25] running on [1/28] CPUs
[1602789916.1620288]         [Thread #25]      Creating output directories...
[1602789916.1638288]         [Thread #25]      Translating reads...
[1602789937.1977067]         [Thread #25]      Running DIAMOND...
[1602789943.2444496]         [Thread #25]      Converting DIAMOND...
[1602789943.35888]           [Thread #25]      Parsing DIAMOND...
[1602789943.5141435]         [Thread #25]      Annotating...
[1602789943.6504161]         [Thread #25]      Analyzing...
[1602789944.0583742]         [Thread #25]      Create read mapping...
[1602789959.2528753]         [Thread #25]    - [Thread #25] finished
[1602789939.4186318]         [Thread #26]    - [Thread #26] running on [1/28] CPUs
[1602789939.4187245]         [Thread #26]      Creating output directories...
[1602789939.4203818]         [Thread #26]      Translating reads...
[1602789959.1961603]         [Thread #26]      Running DIAMOND...
[1602789965.2605276]         [Thread #26]      Converting DIAMOND...
[1602789965.3629377]         [Thread #26]      Parsing DIAMOND...
[1602789965.5094352]         [Thread #26]      Annotating...
[1602789965.5799744]         [Thread #26]      Analyzing...
[1602789965.7010193]         [Thread #26]      Create read mapping...
[1602789980.7735772]         [Thread #26]    - [Thread #26] finished
[1602789961.4237542]         [Thread #27]    - [Thread #27] running on [1/28] CPUs
[1602789961.4238365]         [Thread #27]      Creating output directories...
[1602789961.4254537]         [Thread #27]      Translating reads...
[1602789980.7176685]         [Thread #27]      Running DIAMOND...
[1602789986.7540023]         [Thread #27]      Converting DIAMOND...
[1602789986.8703277]         [Thread #27]      Parsing DIAMOND...
[1602789987.1051009]         [Thread #27]      Annotating...
[1602789987.299799]          [Thread #27]      Analyzing...
[1602789987.5934696]         [Thread #27]      Create read mapping...
[1602790002.4256458]         [Thread #27]    - [Thread #27] finished
[1602789982.9767432]         [Thread #28]    - [Thread #28] running on [1/28] CPUs
[1602789982.976826]          [Thread #28]      Creating output directories...
[1602789982.9783952]         [Thread #28]      Translating reads...
[1602790002.323483]          [Thread #28]      Running DIAMOND...
[1602790008.3175642]         [Thread #28]      Converting DIAMOND...
[1602790008.442571]          [Thread #28]      Parsing DIAMOND...
[1602790008.5942729]         [Thread #28]      Annotating...
[1602790008.8379042]         [Thread #28]      Analyzing...
[1602790008.878245]          [Thread #28]      Create read mapping...
[1602790023.6841953]         [Thread #28]    - [Thread #28] finished
[1602790004.6523614]         [Thread #29]    - [Thread #29] running on [1/28] CPUs
[1602790004.6524053]         [Thread #29]      Creating output directories...
[1602790004.6538434]         [Thread #29]      Translating reads...
[1602790023.651074]          [Thread #29]      Running DIAMOND...
[1602790029.7126591]         [Thread #29]      Converting DIAMOND...
[1602790029.815781]          [Thread #29]      Parsing DIAMOND...
[1602790030.0224926]         [Thread #29]      Annotating...
[1602790030.3506992]         [Thread #29]      Analyzing...
[1602790030.6063268]         [Thread #29]      Create read mapping...
[1602790045.363355]          [Thread #29]    - [Thread #29] finished
[1602790025.8558466]         [Thread #30]    - [Thread #30] running on [1/28] CPUs
[1602790025.85593]           [Thread #30]      Creating output directories...
[1602790025.8573089]         [Thread #30]      Translating reads...
[1602790045.3137085]         [Thread #30]      Running DIAMOND...
[1602790051.3457155]         [Thread #30]      Converting DIAMOND...
[1602790051.4518378]         [Thread #30]      Parsing DIAMOND...
[1602790051.6132102]         [Thread #30]      Annotating...
[1602790051.7869313]         [Thread #30]      Analyzing...
[1602790052.0014367]         [Thread #30]      Create read mapping...
[1602790066.8339353]         [Thread #30]    - [Thread #30] finished
[1602790047.5425997]         [Thread #31]    - [Thread #31] running on [1/28] CPUs
[1602790047.5426877]         [Thread #31]      Creating output directories...
[1602790047.5444338]         [Thread #31]      Translating reads...
[1602790066.7467434]         [Thread #31]      Running DIAMOND...
[1602790072.8566341]         [Thread #31]      Converting DIAMOND...
[1602790072.961057]          [Thread #31]      Parsing DIAMOND...
[1602790073.1501973]         [Thread #31]      Annotating...
[1602790073.3558788]         [Thread #31]      Analyzing...
[1602790073.5565553]         [Thread #31]      Create read mapping...
[1602790086.263137]          [Thread #31]    - [Thread #31] finished
[1602790069.0670023]         [Thread #32]    - [Thread #32] running on [1/28] CPUs
[1602790069.0670877]         [Thread #32]      Creating output directories...
[1602790069.068591]          [Thread #32]      Translating reads...
[1602790088.2868552]         [Thread #32]      Running DIAMOND...
[1602790094.4103248]         [Thread #32]      Converting DIAMOND...
[1602790094.5056145]         [Thread #32]      Parsing DIAMOND...
[1602790094.6338067]         [Thread #32]      Annotating...
[1602790094.7742798]         [Thread #32]      Analyzing...
[1602790095.0080802]         [Thread #32]      Create read mapping...
[1602790108.0838878]         [Thread #32]    - [Thread #32] finished
[1602790090.4341578]         [Thread #33]    - [Thread #33] running on [1/28] CPUs
[1602790090.434302]          [Thread #33]      Creating output directories...
[1602790090.4358466]         [Thread #33]      Translating reads...
[1602790110.8746653]         [Thread #33]      Running DIAMOND...
[1602790116.9799323]         [Thread #33]      Converting DIAMOND...
[1602790117.078696]          [Thread #33]      Parsing DIAMOND...
[1602790117.202271]          [Thread #33]      Annotating...
[1602790117.4659324]         [Thread #33]      Analyzing...
[1602790117.6290839]         [Thread #33]      Create read mapping...
[1602790132.9254587]         [Thread #33]    - [Thread #33] finished
[1602790113.0796056]         [Thread #34]    - [Thread #34] running on [1/28] CPUs
[1602790113.079662]          [Thread #34]      Creating output directories...
[1602790113.081748]          [Thread #34]      Translating reads...
[1602790132.817764]          [Thread #34]      Running DIAMOND...
[1602790138.9134836]         [Thread #34]      Converting DIAMOND...
[1602790139.0135355]         [Thread #34]      Parsing DIAMOND...
[1602790139.141131]          [Thread #34]      Annotating...
[1602790139.381916]          [Thread #34]      Analyzing...
[1602790139.4108124]         [Thread #34]      Create read mapping...
[1602790154.1900635]         [Thread #34]    - [Thread #34] finished
[1602790135.1597023]         [Thread #35]    - [Thread #35] running on [1/28] CPUs
[1602790135.159781]          [Thread #35]      Creating output directories...
[1602790135.1611266]         [Thread #35]      Translating reads...
[1602790154.1934807]         [Thread #35]      Running DIAMOND...
[1602790160.2609143]         [Thread #35]      Converting DIAMOND...
[1602790160.36792]           [Thread #35]      Parsing DIAMOND...
[1602790160.560118]          [Thread #35]      Annotating...
[1602790160.6952093]         [Thread #35]      Analyzing...
[1602790160.9793928]         [Thread #35]      Create read mapping...
[1602790176.007464]          [Thread #35]    - [Thread #35] finished
[1602790156.3485205]         [Thread #36]    - [Thread #36] running on [1/28] CPUs
[1602790156.3486106]         [Thread #36]      Creating output directories...
[1602790156.3499784]         [Thread #36]      Translating reads...
[1602790175.889106]          [Thread #36]      Running DIAMOND...
[1602790182.002016]          [Thread #36]      Converting DIAMOND...
[1602790182.118339]          [Thread #36]      Parsing DIAMOND...
[1602790182.5099857]         [Thread #36]      Annotating...
[1602790182.5800445]         [Thread #36]      Analyzing...
[1602790182.8590417]         [Thread #36]      Create read mapping...
[1602790197.5781007]         [Thread #36]    - [Thread #36] finished
[1602790178.2190042]         [Thread #37]    - [Thread #37] running on [1/28] CPUs
[1602790178.219086]          [Thread #37]      Creating output directories...
[1602790178.222799]          [Thread #37]      Translating reads...
[1602790197.5452542]         [Thread #37]      Running DIAMOND...
[1602790203.6685297]         [Thread #37]      Converting DIAMOND...
[1602790203.7655222]         [Thread #37]      Parsing DIAMOND...
[1602790203.9266484]         [Thread #37]      Annotating...
[1602790204.1046774]         [Thread #37]      Analyzing...
[1602790204.385207]          [Thread #37]      Create read mapping...
[1602790218.8355558]         [Thread #37]    - [Thread #37] finished
[1602790199.746291]          [Thread #38]    - [Thread #38] running on [1/28] CPUs
[1602790199.7463553]         [Thread #38]      Creating output directories...
[1602790199.748104]          [Thread #38]      Translating reads...
[1602790219.8743594]         [Thread #38]      Running DIAMOND...
