PANGAEA Sample ID,Mean_Date [YY/MM/DD hh:mm]*,Mean_Lat*,Mean_Long*,Mean_Depth [m]*,Mean_Temperature [deg C]*,Mean Depth MLD Sigma [m]*,Mean_Salinity [PSU]*,Mean_Oxygen [umol/kg]*,Mean_Nitrates[umol/L]*,NO2 [umol/L]**,PO4 [umol/L]**,NO2NO3 [umol/L]**,SI [umol/L]**,"AMODIS:PAR8d,Einsteins/m-2/d-1",Okubo-Weiss,Lyapunov_exp.,grad_SST_adv,retention,Mean Depth Max Fluo [m]*,Mean Depth Max N2 [m]*,Mean Depth Max O2 [m]*,Mean Depth Min O2 [m]*,Mean Depth Nitracline [m]*,miTAG.SILVA.Taxo.Richness,miTAG.SILVA.Phylo.Diversity,miTAG.SILVA.Chao,miTAG.SILVA.ace,miTAG.SILVA.Shannon,OG.Shannon,OG.Richness,OG.Evenness,FC - heterotrophs [cells/mL],FC - autotrophs [cells/mL],FC - bacteria [cells/mL],FC - picoeukaryotes [cells/mL],minimum generation time [h]
TARA_B100001989,12/10/11 13:58,6.33,-102.94,5.4,26.6,24,33.4,196.9,-1.2,0.00,0.16,0.00,1.19,40.6,-0.11,0.04,NA,1.61,50,48,28,347,55,2661,436,4306,4212,6.51,7.12,17717,0.728,394198,222835,617033,1567,15
TARA_B100002019,12/21/11 16:25,7.41,-79.30,5.4,26.6,4,28.9,205.3,-3.8,0.00,0.08,0.00,0.54,27.9,0.22,0.36,NA,0.00,26,42,29,288,48,2919,459,4459,4420,6.73,7.19,17614,0.735,867923,264990,1132914,5808,13
TARA_Y100001958,7/31/11 17:24,-8.91,-140.28,5.5,26.6,88,35.4,189.8,3.9,0.14,0.53,4.90,2.22,45.2,0.02,0.04,NA,0.00,35,122,29,339,233,NA,NA,NA,NA,NA,NA,NA,NA,721664,31112,752776,10279,NA
TARA_B100000683,7/31/11 17:24,-8.91,-140.28,5.5,26.6,88,35.4,189.8,3.9,0.14,0.53,4.90,2.22,45.2,0.02,0.04,NA,0.00,35,122,29,339,233,2819,464,4526,4335,6.50,7.21,19169,0.731,721664,31112,752776,10279,10
TARA_Y100001954,7/31/11 17:24,-8.91,-140.28,5.5,26.6,88,35.4,189.8,3.9,0.14,0.53,4.90,2.22,45.2,0.02,0.04,NA,0.00,35,122,29,339,233,NA,NA,NA,NA,NA,NA,NA,NA,721664,31112,752776,10279,NA
TARA_Y100001972,7/26/11 17:34,-8.99,-139.21,5.9,26.5,71,35.4,186.2,4.0,0.12,0.57,5.46,2.19,40.2,0.00,0.02,NA,8.42,99,107,29,232,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,150974,150974,5770,NA
TARA_Y100001980,7/26/11 17:34,-8.99,-139.21,5.9,26.5,71,35.4,186.2,4.0,0.12,0.57,5.46,2.19,40.2,0.00,0.02,NA,8.42,99,107,29,232,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,150974,150974,5770,NA
TARA_B100001115,7/26/11 17:34,-8.99,-139.21,5.9,26.5,71,35.4,186.2,4.0,0.12,0.57,5.46,2.19,40.2,0.00,0.02,NA,8.42,99,107,29,232,203,2417,397,3614,3506,6.58,7.13,16069,0.736,NA,150974,150974,5770,13
TARA_Y100001978,7/26/11 17:34,-8.99,-139.21,5.9,26.5,71,35.4,186.2,4.0,0.12,0.57,5.46,2.19,40.2,0.00,0.02,NA,8.42,99,107,29,232,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,150974,150974,5770,NA
TARA_R100001510,5/13/11 0:00,2.08,-84.52,29.8,26.5,9,34.3,203.1,3.9,0.11,0.50,4.60,3.20,51.7,0.01,0.02,2.22,11.36,28,42,28,380,61,NA,NA,NA,NA,NA,NA,NA,NA,824281,155101,979382,4968,NA
TARA_B100000927,5/13/11 0:00,2.08,-84.52,29.8,26.5,9,34.3,203.1,3.9,0.11,0.50,4.60,3.20,51.7,0.01,0.02,2.22,11.36,28,42,28,380,61,2501,401,3567,3451,6.68,7.17,15374,0.743,824281,155101,979382,4968,13
TARA_Y100001937,8/5/11 0:27,-9.11,-140.58,9.9,26.5,92,35.4,190.7,5.1,0.16,0.63,6.18,2.52,NA,0.02,0.04,NA,0.00,33,115,31,241,187,NA,NA,NA,NA,NA,NA,NA,NA,705265,250340,955605,10669,NA
TARA_Y100001935,8/5/11 0:27,-9.11,-140.58,9.9,26.5,92,35.4,190.7,5.1,0.16,0.63,6.18,2.52,NA,0.02,0.04,NA,0.00,33,115,31,241,187,NA,NA,NA,NA,NA,NA,NA,NA,705265,250340,955605,10669,NA
TARA_B100000674,8/5/11 0:27,-9.11,-140.58,9.9,26.5,92,35.4,190.7,5.1,0.16,0.63,6.18,2.52,NA,0.02,0.04,NA,0.00,33,115,31,241,187,2532,421,3812,3660,6.62,7.21,17533,0.738,705265,250340,955605,10669,13
TARA_Y100001933,8/5/11 0:27,-9.11,-140.58,9.9,26.5,92,35.4,190.7,5.1,0.16,0.63,6.18,2.52,NA,0.02,0.04,NA,0.00,33,115,31,241,187,NA,NA,NA,NA,NA,NA,NA,NA,705265,250340,955605,10669,NA
TARA_B100001287,12/2/11 14:10,14.20,-116.63,5.4,26.4,17,33.9,195.1,3.2,0.07,0.46,2.44,2.54,33.6,0.05,0.03,NA,2.67,40,38,29,364,46,2330,374,3365,3220,6.61,7.13,13939,0.747,755425,273894,1029319,10134,12
TARA_R100000081,3/15/10 3:44,19.04,64.49,5.5,26.2,11,36.6,199.9,0.9,0.01,0.32,0.06,1.18,47.7,0.01,0.07,0.16,1.08,32,108,32,487,123,NA,NA,NA,NA,NA,NA,NA,NA,1626279,285872,1912151,8040,NA
TARA_Y100000289,3/15/10 3:44,19.04,64.49,5.5,26.2,11,36.6,199.9,0.9,0.01,0.32,0.06,1.18,47.7,0.01,0.07,0.16,1.08,32,108,32,487,123,NA,NA,NA,NA,NA,NA,NA,NA,1626279,285872,1912151,8040,NA
TARA_Y100000287,3/15/10 3:44,19.04,64.49,5.5,26.2,11,36.6,199.9,0.9,0.01,0.32,0.06,1.18,47.7,0.01,0.07,0.16,1.08,32,108,32,487,123,2197,354,2935,2883,6.55,7.14,13741,0.749,1626279,285872,1912151,8040,11
TARA_B100000614,9/4/11 23:14,0.00,-153.68,41.7,26.1,35,35.1,177.0,4.4,0.28,0.55,5.26,2.74,NA,0.01,0.00,0.26,0.00,40,106,29,440,468,3128,485,4723,4675,6.74,7.25,19859,0.733,484331,181360,665691,7895,15
TARA_B100000609,9/4/11 18:04,0.00,-153.68,5.4,26.1,35,35.1,179.9,2.5,0.27,0.54,5.08,2.67,NA,0.01,0.00,0.26,0.00,40,106,29,440,468,2977,476,4617,4499,6.67,7.18,18140,0.732,435093,179847,614940,7872,12
